Unnamed: 0,23.birth to death ceremonies,23. ஸோட3ஸ ஸம்ஸ்காருன்,सोडस सम्स्कारुन,ꢱꣂꢞꢱ ꢱꢪ꣄ꢱ꣄ꢒꢵꢬꢸꢥ꣄
கால்நடுதல்  ,planting a small branch of a banyan tree to grow as a symbol of marriage,மூ:ர்துகா2ம்பு ஸ்தா2பனொ,म्हूर्तु खाम्पु स्थापना॑,ꢪꢴꢹꢬ꣄ꢡꢸ ꢓꢵꢪ꣄ꢦꢸ ꢱ꣄ꢢꢵꢦꢥꣁ
குரவையிடுதல்  ,the oral sound made during important occasions,குலவொக4லஸ்தே,कुल वा॑घलस्त॑,ꢒꢸꢭ ꢮꣁꢕꢭꢱ꣄ꢡꢾ
கொடி யேற்றுதல்   ,flag hoisting ceremony of a temple,ஜ2ண்டா3வ் ஹிங்க3ட்3ணி,झण्डाव्हिङ्गड्णि,ꢚꢠ꣄ꢞꢮ꣄ ꢲꢶꢖ꣄ꢔꢞ꣄ꢠꢶ
கோலம்  ,floor decoration with rice or stone powder,முக்3கு3,मुग्गु,ꢪꢸꢔ꣄ꢔꢸ
சகுனம்  ,omen,ஸெகு3ன்,स॑गुन,ꢱꢾꢔꢸꢥ꣄
சடங்கு  ,ceremony,ஸம்ஸ்கார்,सम्स्कार,ꢱꢪ꣄ꢱ꣄ꢒꢵꢬ꣄
சந்தனக் குழம்பு   ,sandal paste,ஸிர்க்கணுஅம்பி3ல்,सिर्क्कणु अम्बिल्,ꢱꢶꢬ꣄ꢒ꣄ꢒꢠꢸ ꢂꢪ꣄ꢨꢶꢭ꣄
சவ அடக்கம்   ,burial,ப்ரேது3க் க3ட்3ணி,प्रेदुक गड्णि,ꢦ꣄ꢬꢿꢣꢸꢒ꣄ ꢔꢞ꣄ꢠꢶ
சவக்கிடங்கு  ,mortuary,ப்ரேத் தொ2வன் ஸ்தா2ன்,प्रेत था॑वन स्थान,ꢦ꣄ꢬꢾꢡ꣄ ꢢꣁꢮꢥ꣄ ꢱ꣄ꢢꢵꢥ꣄
சவக்குழி  ,the pit where the burial is done,ப்ரேது3பொல்லம்/ ப்ரேது3 க3ர்தொ,"प्रेदुपोल्लम, प्रेदु ग्र्तो","ꢦ꣄ꢬꢾꢣꢸꢦꣁꢭ꣄ꢭꢪ꣄, ꢦ꣄ꢬꢾꢣꢸ ꢔꢬ꣄ꢡꣁ"
சவப்பெட்டி  ,coffin,ப்ரேது3பெடி3,प्रेदुप॑डि,ꢦ꣄ꢬꢾꢣꢸꢦꢾꢞꢶ
சிமிழ்  ,a small container,பொ4ரணி,भा॑         रणि,ꢩꣁꢬꢠꢶ
சீமந்தம்  ,ceremony for the pregnant woman,ஸிந்த3ம்,सिन्दम,ꢱꢶꢥ꣄ꢣꢪ꣄
சீர்  ,money and new vessels given to the bridegroom on festival days by his parents in law,ஸிக்3ரம்,सिग्रम,ꢱꢶꢔ꣄ꢬꢪ꣄
சொப்பு,A cup like container,பெலொ,प॑ला॑,ꢦꣁꢭꣁ
ஞானஸ்நானம்  ,baptism, ஞானஸ்நான்,ञानस्नान,ꢛꢵꢥꢱ꣄ꢥꢵꢥ꣄
தகனம்  ,funeral,த3ஹனொ,दहना॑,ꢣꢲꢥꣁ
தட்சிணை  ,offering to the elders,தக்ஷணொ,तक्ष्णा॑,ꢡꢒ꣄ꢰ꣄ꢠꣁ
தம்பதி  ,couple,த3ம்பதி,दम्पति,ꢡꢪ꣄ꢦꢡꢶ
தாயத்து  ,talisman,லெச்செ,ल॑च्च॑,ꢭꢾꢗ꣄ꢗꢾ
தாலி  ,an ornament worn by women signifying that they are married and their husband is alive,தொ3ரிம் பொ3ட்டு/மாங்க3ல்யு,"दा॑रिम बा॑ट्टु, माङगल्यु","ꢣꣁꢬꢶꢪ꣄ ꢨꣁꢜ꣄ꢜꢸ, ꢪꢵꢖ꣄ꢔꢭ꣄ꢫꢸ"
தாலி கட்டு,Tying of tali,பொ3ட்டு ப4ந்தி,बा॑ट्टु भन्दि,ꢨꣁꢜ꣄ꢜꢸ ꢩꢥ꣄ꢣꢶ
திருமண அன்பளிப்பு/பரிசு   ,wedding gift,ஹொராடு ஸிக்3ரம்/ ஹொராடு பொகு3மானி,हा॑राटु सिग्रम् / हा॑राटु भा॑गुमानि,ꢲꣁꢬꢵꢜꢸ ꢱꢶꢔ꣄ꢬꢪ꣄/ ꢲꣁꢬꢵꢜꢸ ꢩꣁꢔꢸꢪꢵꢥꢶ
திருமணம்,marriage,ஹொராட்,हा॑राट्,ꢲꣁꢬꢵꢜ꣄
திருமண மண்டபம்   ,building where marriage ceremonies are conducted,ஹொராடு மொண்ட3வ்,हा॑राटुमण्डप् (मा॑ण्टव्),ꢲꣁꢬꢵꢜꢸ ꢪꢠ꣄ꢣꢦ꣄ (ꢪꣁꢠ꣄ꢡꢮ꣄)
திருநாள்  ,festival/function,தின்னாள் /        ஸுப வைப4வ்,"तिन्नाळ,        सुप वैभव","ꢡꢶꢥ꣄ꢥꢵꢳ꣄꣄,    ꢱꢸꢦ ꢮꣀꢩꢮ꣄"
திருவிழா  ,festival,ஸென்னு/வைப4வ் / தின்னாள்,"स॑न्नु, वैभव, तिन्नाळ","ꢱꢾꢥ꣄ꢥꢸ, ꢮꣀꢩꢮ꣄, ꢡꢶꢥ꣄ꢥꢵꢳ꣄"
தேர்த்திருவிழா  ,car festival of a temple,ரெத்துஸென்னு,र॑त्तुस॑न्नु,ꢬꢾꢡ꣄ꢡꢸꢱꢾꢥ꣄ꢥꢸ
நம்பிக்கை  ,"faith, belief",பி4ண்டி3நி/நொம்கெ,"भिण्डिनि, नोम्के","ꢩꢶꢠ꣄ꢞꢶꢥꢶ, ꢥꣁꢪ꣄ꢒꢾ"
நல்வரவு  ,welcome,ஸ்வாக3தொ,स्वागतो,ꢱ꣄ꢮꢵꢔꢡꣁ
நிக்கா  ,Muslim marriage,துட்3யானுஹொராட்,तुट्यानुहा॑राट्,ꢡꢸꢜ꣄ꢫꢵꢥꢸ ꢲꣁꢬꢵꢜ꣄
நிச்சயத்தாம்பூலம்   ,betrothel ceremony (engagement),கெ4ட்டிவிடொ3,ग॑ट्टिविडा॑,ꢕꢾꢜ꣄ꢜꢶꢮꢶꢞꣁ
நிச்சயதார்த்தம்  ,betrothel ceremony (engagement),தே3ஸ்,देस्,ꢣꢿꢱ꣄
பட்டாசு  ,crackers,ப3ணால்/பொட்டாஸ்,"बणाल्, पा॑ट्टास्","ꢨꢠꢵꢭ꣄, ꢦꣁꢜ꣄ꢜꢵꢱ꣄"
பண்டிகை  ,festival,ஸென்னு,स॑न्नु,ꢱꢾꢥ꣄ꢥꢸ
பண்பாடு  ,culture,கலாசார்/ஸம்ஸ்க்ருதி,"कलाचार, सम्स्कृति","ꢒꢭꢵꢗꢵꢬ꣄, ꢱꢪ꣄ꢱ꣄ꢒꢺꢡꢶ"
பந்தல்  ,pandal,மவ்டொ3,मव्डा॑,ꢪꢮ꣄ꢞꣁ
பந்தி  ,a row of people sitting/standing,பாதி3/பங்க்தி,"पादि, पङ्क्ति","ꢦꢵꢡꢶ,  ꢦꢖ꣄ꢒ꣄ꢡꢶ"
பரிசு,gift,பொ4கு3மான்,भा॑गुमान्,ꢩꣁꢔꢸꢪꢵꢥ꣄
பலி  ,sacrifice,பொ3லி,बा॑लि,ꢨꣁꢭꢶ
பன்னீர்  ,rose water,ரோஜாபூ2லுபனி,रोजा फूलुपनि,ꢬꣂꢙꢵ ꢧꢹꢭꢸꢦꢥꢶ
பன்னீர்க்கும்பா  ,rose water container to spray,பன்னீர் கு2ம்பா3வ்,पन्नीर खुम्बाव,ꢦꢥ꣄ꢥꢷꢬ꣄ ꢓꢸꢪ꣄ꢨꢵꢮ꣄
பாடை  ,bamboo stretcher to carry a corpse,பாடொ3,पाडा॑,ꢦꢵꢞꣁ
பால்காய்ச்சுதல்,the milk boiling ceremony in house warming,தூ3த் ஹுன்னொ கெரஸ்தே / தூ3த் தவஸ்தே,"दूत हुन्ना॑ केरस्ते, दूत्तवस्ते","ꢣꢹꢡ ꣄ꢲꢸꢥ꣄ꢥꣁ ꢒꢾꢬꢱ꣄ꢡꢾ,    ꢣꢹꢡ꣄ ꢡꢮꢱ꣄ꢡꢾ"
பிண்டம்  ,the lump of food offered to the dead,பிண்டு3,पिण्डु,ꢦꢶꢠ꣄ꢞꢸ
பிறந்தநாள்  ,birth day,உஜெதி3வஸ்/உஜெ தி3ன்னு,"उज॑ दिवस,    उज॑ दिन्नु","ꢆꢙꢾꢣꢶꢮꢱ꣄, ꢆꢙꢾ ꢣꢶꢥ꣄ꢥꢸ"
பூக்கோலம்  ,floor decoration with flowers,பூ2லுமுக்3கு3,फूलुमुग्गु,ꢧꢹꢭꢸ ꢪꢸꢔ꣄ꢔꢸ
புதுமனைப் புகுவிழா   ,the house warming ceremony,க்ரு3ஹப் ப்ரவேஸ்,गृह प्रवेस,ꢔꢺꢲ  ꢦ꣄ꢬꢮꢿꢱ꣄
புரோகிதன்  ,priest,புரோஹித்/புரேத்,"पुरोहित, पुरेत","ꢦꢸꢬꣁꢲꢶꢡ꣄, ꢦꢸꢬꢾꢡ꣄"
பூசாரி  ,priest,புஜரி,पुजरि,ꢦꢸꢙꢬꢶ
பூப்புநீராட்டுவிழா   ,the celebration on attaintment of puberty by girls,சாலு விஸேஷ்,चालु विसेष,ꢗꢵꢭꢸ ꢮꢶꢱꢾꢯ꣄
பெண்பார்த்தல்  ,seeing the girl to fix for the marriage,பெ3ட்கி ஸாஸ்தே,ब॑ट्कि सास्ते,ꢨꢾꢜ꣄ꢒꢶ ꢱꢵꢱ꣄ꢡꢾ
பெயர்சூட்டுதல்  ,naming ceremony,நாம க3ரணொ / ஸெட்டி,"नामगरणा॑, स॑ट्टि","ꢥꢵꢪꢔꢬꢠꣁ, ꢱꢾꢜ꣄ꢜꢶ"
மணப்பந்தல்  ,marriage pandal,ஹொராடு மவ்டொ3,हा॑राटु मव्डा॑,ꢲꣁꢬꢵꢜꢸꢪꢮ꣄ꢞꣁ
மணமகள்  ,bride,நொவ்ரி,ना॑व्रि,ꢥꣁꢮ꣄ꢬꢶ
மணமகன்/ மாப்பிள்ளை/ வரன்    ,bridegroom,நொவ்ரொ,ना॑व्रा॑,ꢥꣁꢮ꣄ꢬꣁ
மணமாலை  ,marriage garland,ஹொராடுஹார்,हा॑राटु हार,ꢲꣁꢬꢵꢜꢸ ꢲꢵꢬ
மணமேடை  ,marriage platform,ஹொராடு பீட2ம்,हा॑राटु पीठम्,ꢲꣁꢬꢵꢜꢸ ꢦꢷꢝꢪ꣄
மரபு  ,tradition,பத்3த3தி/வட்கெ,"पद्दति, वक॑","ꢦꢣ꣄ꢣꢣꢶ, ꢮꢡ꣄ꢒꢾ"
மறுபிறவி  ,re-birth,புனர்ஜென்மு,पुनर्ज॑न्मु,ꢦꢸꢥꢬ꣄ꢙꢾꢥ꣄ꢪꢸ
மாக்கோலம்  ,floor decoration with rice floor,பீடு3முக்3கு3,पीडुमुग्गु,ꢦꢷꢞꢸꢪꢸꢔ꣄ꢔꢸ
மாலைமாற்றல்  ,exchanging garlands in marriage,ஹார் பி2ரி க4ல்லினி / மாலொமச்சுலஸ்தே,"हार्फिरिघल्लिनि, माला॑ मच्चुलस्ते","ꢲꢵꢬ꣄ꢧꢶꢬꢶꢕꢭ꣄ꢭꢶꢥꢶ,ꢪꢵꢭꣁ ꢪꢗ꣄ꢗꢸꢭꢱ꣄ꢡꢾ"
மிஞ்சி  ,silver rings put to the second toe of a bride,பாஇ~முத்3தி3/விஞ்சுபொ3ட்டு,"पाइ~ मुद्दि, विञ्चु बा॑ट्टु","ꢦꢵꢄ~ ꢪꢸꢣ꣄ꢣꢶ, ꢮꢶꢛ꣄ꢗꢸ ꢨꣁꢜ꣄ꢜꢸ"
மொய்  ,offering money to the bride/bridegroom by relatives and friends,கென்னள்,क॑न्नल,ꢒꢾꢥ꣄ꢥꢭ꣄
மோதிரம் மாற்றல்   ,exchange of rings during marriage or prior to it (engagement),முத்3தி3 மர்சுலஸ்தே,मुद्दि मर्चुलस्ते,ꢪꢸꢣ꣄ꢣꢶꢪꢬ꣄ꢗꢸꢭꢱ꣄ꢡꢾ
முகூர்த்தம்  ,the auspicious time,மூ:ர்து / லெகி3ன்,"म्हूर्तु, ल॑गिन","ꢪꢴꢹꢬ꣄ꢡꢸ, ꢭꢾꢔꢶꢥ꣄"
மூட நம்பிக்கை    ,superstition,மு:டா3பி3ண்டி3னி,म्हुडा बिण्डिनि,ꢪꢴꢸꢞꢨꢶꢠ꣄ꢞꢶꢥꢶ
வரவேற்பு  ,reception,ஸ்வாகத்3,स्वागद,ꢱ꣄ꢮꢵꢔꢣ꣄
வளைகாப்பு  ,bangle wearing ceremony of pregnant woman,கைனொ பி2ரட்3னி,कैना॑ फिरड्नि,ꢒꣀꢥꣁ ꢧꢶꢬꢞ꣄ꢥꢶ
வாய்க்கரிசி  ,putting rice to the mouth of the dead,தந்து3 தைனி,तन्दु तैनि,ꢡꢥ꣄ꢣꢸ ꢡꣀꢥꢶ
வாழ்த்து  ,"blessing, greeting",நந்தி3னி,नन्दिनि,ꢥꢥ꣄ꢣꢶꢥꢶ
விருந்து  ,feast,ஜொமன்,जा॑मन्,ꢙꣁꢪꢥ꣄
விழா  ,"ceremony, function, festival",வைப4வ்,वैभव्,ꢮꣀꢩꢮ꣄
ஜல்லிக்கட்டு,Bull fight,கொ3ரு உட்க3ண்ணி,गा॑रु उड्गण्णि,ꢔꣁꢬꢸ ꢆꢞ꣄ꢔꢠ꣄ꢠꢶ
ஜாதகம்  ,horoscope,ஜர்/த்கெம் பான்,जर/त्क॑म्पान,ꢙꢬ꣄/ꢡ꣄ꢒꢾꢪ꣄ ꢦꢵꢥ꣄
 ,,,,
