அகரமுதலி / அகராதி,dictionary,அகராதி/நிகண்டு/கோஷ்,"अकराति, निकण्टु, कोष","ꢂꢒꢬꢵꢡꢶ, ꢥꢶꢒꢠ꣄ꢜꢸ, ꢒꣂꢰ꣄"
சோதனை ,test,ஸோத4னொ/பரீக்ஷொ,"सोधना॑, परीक्षो","ꢱꣁꢤꢥꣁ, ꢦꢬꢷꢒ꣄ꢰꣁ "
தவறு ,mistake,மந்து/சூக்/குண்டு,"मन्तु, छूक्, कुण्टु","ꢪꢥ꣄ꢡꢸ, ꢗꢹꢒ꣄, ꢒꢸꢠ꣄ꢜꢸ"
தாய்மொழி ,mother tongue,மாய்பா4ஷொ/மாத்ருபா4ஷொ,"माय्भाषा॑, मात्रुभाषा॑","ꢪꢵꢫ꣄ ꢩꢵꢰꣁ, ꢪꢵꢡ꣄ꢬꢸꢩꢵꢰꣁ"
தாள்,paper,கள்ஜம்,कल्जेम्,ꢒꢭ꣄ꢙꢾꢪ꣄
திறன்,skill,நைபுண்ய,नैपुण्य,ꢥꣀꢦꢸꢠ꣄ꢫ
திறனாய்வு ,criticism,விமர்ஸனொ/கு3ணதோ3ஷ விசார்,"विमर्सना॑, गुणदोष विचार","ꢮꢶꢪꢬ꣄ꢱꢥꣁ, ꢔꢸꢠꢣꣂꢰ ꢮꢶꢗꢵꢬ꣄ "
துறை ,department,விபா4க்3,विभाग्,ꢮꢶꢩꢵꢔ꣄
தேர்வு ,examination,பரீக்ஷொ,परीक्षे,ꢦꢬꢷꢰꢾ
தேர்வுமையம் ,examination centre,பரீக்ஷா தா2ம்,परीक्षा थाम्,ꢦꢬꢷꢰꢵ ꢢꢵꢪ꣄
தொடக்கப்பள்ளி ,primary school,ஆரம்ப4ஹுரி,आरम्ब हुरि,ꢃꢬꢪ꣄ꢩ ꢲꢸꢬꢶ
தொடரன் ,sentence,வத்தாதொரண்,वत्ताता॑रण,ꢮꢡ꣄ꢡꢵ ꢡꣁꢬꢠ꣄
நடத்தை ,behaviour,சால்சலன்/சல்னி,"चाल्चलन्, चल्नि","ꢗꢵꢭ꣄ꢗꢭꢥ꣄, ꢗꢭ꣄ꢥꢶ"
நடனம் ,dance,நடனொ,नटना॑,ꢥꢜꢥꣁ
நாடகம் ,drama,நாசு,नाचु,ꢥꢵꢗꢸ
நாடோடிக் கதை ,folk tale,லோக்கெ2னி,लोक्ख॑नि,ꢭꣁꢒ꣄ꢓꢾꢥꢶ
நாடோடிப் பாடல் ,folk song,லோக்கீ3த்/தே3ஸிகீ3த்,"लोक्गीत्, देसिगीत","ꢭꣂꢒ꣄ꢔꢷꢡ꣄, ꢣꢿꢱꢶꢔꢷꢡ꣄"
நூல் ,book,பொதி/புஸ்தவ்/புஸ்திகொ,"पा॑ति, पुस्तव्, पुस्तिका॑","ꢦꣁꢡꢶ, ꢦꢸꢱ꣄ꢡꢮ꣄, ꢦꢸꢱ꣄ꢡꢶꢒꣁ"
நூலகம் ,library,பொதிகே4ர்/ ப4ண்டா3ருகே4ர்,"पा॑तिघेर्, भण्डारुघेर्","ꢦꣁꢡꢶꢔ꣄ꢕꢿꢬ꣄, ꢩꢠ꣄ꢞꢵꢬꢸꢕꢿꢬ꣄"
நெடுங்கணக்கு ,alphabet,வர்ணமாலொ,वर्णमाला॑,ꢮꢬ꣄ꢠꢪꢵꢭꣁ
நோக்கம் ,aim,லக்ஷ்யொ/த்4யேயு,"लक्ष्या॑, ध्येयु","ꢭꢒ꣄ꢰ꣄꣄ꢫꣁ, ꢤ꣄ꢫꢾꢫꢸ"
பக்கம் ,page,போக்/புடொ,"पोक्, पुटा॑","ꢦꣁꢒ꣄, ꢦꢸꢜꣁ"
பட்டதாரி ,graduate,ஸ்னாதகொ,स्नातका॑,ꢱ꣄ꢥꢵꢡꢒꣁ
பட்டம் ,degree,உபாதி4,उपाधि,ꢆꢦꢵꢤꢶ
படிப்பகம் /நூலகம்,reading room/library,செது3வ்கொ2ட்டொ/வாசகஸாலொ,च॑तुव्का॑ट्टा॑ वाचकसाला॑,ꢗ꣄qꢡꢸꢮ꣄ ꢒꣁꢜ꣄ꢜꣁ ꢮꢵꢗꢒꢱꢵꢭꣁ
படிப்பு ,studies,செது3வ்/ஈக்3,"च॑दुव्, ईग्","ꢗꢾꢣꢸꢮ꣄, ꢅꢔ꣄"
படிவம் ,form,ப2ரம்,फरम्,ꢧꢬꢪ꣄
படைப்பு ,creative work,ரசினி,रचिनि,ꢬꢱꢶꢥꢶ
பத்திரிகை ,magazine,ஸஞ்சிகொ,सञ्चिका॑,ꢱꢛ꣄ꢗꢶꢒꣁ
பதில் ,answer,ஜெவாப்,ज॑वाप्,ꢙꢾꢮꢵꢦ꣄
பயில்தல் ,learning,அப்4யாஸ்,अभ्यास्,ꢂꢩ꣄ꢫꢵꢱ꣄
பரிசு ,prize,ஜேம்/பாரிதோஸிகொ,"जेम्, पारितोसिका॑","ꢙꢿꢪ꣄, ꢦꢵꢬꢶꢡꣂꢱꢶꢒꣁ"
பரிசோதனை ,experiment,பரிஸோத4னொ,परिसोधना॑,ꢦꢬꢶꢱꣁꢤꢥꣁ
பரிட்சை,examinations,பரிக்ஷொ,परिक्षो,ꢦꢬ꣄ꢒ꣄ꢰꣁ
பல்கலைக் கழகம் ,university,ஸர்வகலாஸாலொ,सर्वकलासाला॑,ꢱꢬ꣄ꢮꢒꢭꢵꢱꢵꢭꣁ
பள்ளி / பள்ளிக்கூடம்,school,ஹுரி,हुरि,ꢲꢸꢬꢶ
பழமொழி ,proverb,ஜுன்னவாசு /ப்ராவாசு,"जुन्नवाचु, प्रावाचु","ꢙꢸꢥ꣄ꢥꢮꢵꢗꢸ, ꢦ꣄ꢬꢵꢮꢵꢗꢸ"
பாட்டு ,song,கீ3த்,गीत्,ꢔꢷꢡ꣄
பாடத்திட்டம் ,syllabus,பாட2விவரணொ,पाठविवरणा॑,ꢦꢵꢝꢮꢶꢮꢬꢠꣁ
பாடப்புத்தகம் ,textbook,பாட2புஸ்தவ்,पाठ्पुस्तव्,ꢦꢵꢝꢦꢸꢱ꣄ꢡꢮ꣄
பாடம் ,lesson,பாட்2,फठ,ꢦꢵꢝ꣄
பிழை ,error,"பொரொ, மந்து","पा॑रा॑, मन्तु","ꢦꣁꢬꣁ, ꢪꢥ꣄ꢡꢸ"
புத்தகம்,book,பொதி,पा॑ति,ꢦꣁꢡꢶ
புதினம் ,novel,லாம்கெ2னி,लाम्ख॑नि,ꢭꢵꢪ꣄ꢓꢾꢥꢶ
புதுக்கவிதை ,"modern poetry, free verse",நொவ்வ கவிதொ,ना॑व्वकविता॑,ꢥꣁꢮ꣄ꢮꢒꢮꢶꢡꣁ
புராணம் ,mythology,புராணொ,पुराणा॑,ꢦꢸꢬꢵꢠꣁ
பேராசிரியர் ,professor,மா: ஒத்3தி3,म्हा आ॑द्दि,ꢪꢴꢵ ꢏꢣ꣄ꢣꢶ
பேனா ,pen,லிக்லொ,लिक्ला॑,ꢭꢶꢒ꣄ꢭꣁ
பொருள் ,subject,விஷயு,विषयु,ꢮꢶꢰꢫꢸ
பொறியியல் ,engineering,யந்த்ருவித்3யொ/ யந்த்ரு விக்3ஞான்,"यन्त्रु विद्या॑, यन्त्रु विग्ञान्","ꢫꢥ꣄ꢡ꣄ꢬꢸꢮꢶꢣ꣄ꢫꣁ, ꢫꢥ꣄ꢡ꣄ꢬꢸ ꢮꢶꢔ꣄ꢛꢵꢥ꣄ "
போட்டி ,competition,பொந்தி/ஸ்பர்தொ4,"पा॑न्ति, स्वर्धा॑","ꢦꣁꢥ꣄ꢡꢶ, ꢱ꣄ꢦꢬ꣄ꢤꣁ"
மருத்துவம் ,treatment,ஒய்த3பன்,आ॑य्दपन्न,ꢏꢫ꣄ꢣꢦꢥ꣄
மருந்து ,medicine,ஹொக3த்,हा॑गत्,ꢲꣁꢔꢡ꣄
மழலைப்பள்ளி ,nursery school,நு:ருனு ஹுரி,न्हुरुनु हुरि,ꢥꢴꢸꢬꢸꢥꢸ ꢲꢸꢬꢶ
மாணவன் ,student (male),வித்3யார்தி2,विद्यार्ति,ꢮꢶꢣ꣄ꢫꢵꢬ꣄ꢡꢶ
மாணவி ,student (female),வித்3யார்தி2னி,विद्यार्त्तिनि,ꢮꢶꢣ꣄ꢫꢵꢬ꣄ꢡ꣄ꢡꢶꢥꢶ
முதல் வகுப்பு ,first class,பை2லவர்கு3,फैलवर्गु,ꢧꣀꢭꢮꢬ꣄ꢔꢸ
முதல்வர் ,principal,ப்ரதா4ன்ஒத்3தி3,प्रधान् आ॑द्दि,ꢦ꣄ꢬꢤꢵꢥꣁꢣ꣄ꢣꢶ
முதலிடம் ,first rank,பை2லஶ்ரேநி,फैलश्रेनि,ꢧꣀꢭꢯ꣄꣄ꢬꢿꢥꢶ
மை ,ink,மை,मै,ꢪꣀ
மொழி ,language,பா4ஷொ,भाषा॑,ꢩꢵꢰꣁ
மொழிநடை  ,language style,பா4ஷா ரீதி,भाषा रीति,ꢩꢵꢰꢵ ꢬꢷꢡꢶ
மொழிபெயர்ப்பு  ,translation,பா4ஷா மர்சினி/ அனுவாத்3/ பா4ஷாந்தர்/ தர்ஜமொ,"भाषा मर्च्चिनि, अनुवाद्, भाषान्तर्, तर्जमा॑","ꢩꢵꢰꢵ ꢪꢬ꣄ꢗꢶꢥꢶ, ꢂꢥꢸꢮꢵꢣ꣄, ꢩꢵꢱꢵꢥ꣄ꢡꢬ꣄, ꢡꢬ꣄ꢙꢪꣁ"
மொழியியல்  ,linguistics,பா4ஷாவிக்3ஞான்,भाषाविगञान,ꢩꢵꢰꢵꢮꢶꢔ꣄ꢛꢵꢥ꣄
வகுப்பு  ,classroom,வர்கு3,वर्कु,ꢮꢬ꣄ꢒꢸ
வரலாறு  ,history,சரித்ரு,चरित्रु,ꢗꢬꢶꢡ꣄ꢬꢸ
வார்த்தை  ,word,வத்தொ/ஶப்3து3,"वत्त, शब्दु","ꢮꢡ꣄ꢡꣁ, ꢯꢨ꣄ꢣꢸ ꢴ"
விஞ்ஞானம்  ,science,விக்3ஞான்,विगञान,ꢮꢔ꣄ꢛꢵꢥ꣄
விஞ்ஞானி  ,scientist,விக்3ஞானி,विगञानि,ꢮꢔ꣄ꢛꢵꢥꢶ
விடுப்பு  ,leave,ஸொட்3ணி/ஸோடு3,सा॑ड्णि/शोडु,ꢯꣁꢞ꣄ꢠꢶ/ꢯꣂꢞꢸ
விடுமுறை  ,holiday,ஸொட்3வார்,सा॑ड्वार,ꢱꣁꢞ꣄ꢮꢵꢬ꣄
விடை  ,answer,ஜவாப்3,जवाब्,ꢙꢮꢵꢨ꣄
விவாதம்  ,debate,விவாத்3,विवात्,ꢮꢶꢮꢵꢡ꣄
வினா  ,question,ப்ரஷ்னொ/புஸினி/ புஸாவ்,प्रष्णा॑ / पुसिनि / पुसाव,ꢦ꣄ꢬꢰ꣄ꢥꣁ/ ꢦꢸꢱꢶꢥꢶ/ ꢦꢸꢱꢵꢮ꣄
வினாத்தாள்  ,question paper,ப்ரஷ்ன பத்ரொ,प्रष्न पत्रा॑,ꢦ꣄ꢬꢰ꣄ꢥ ꢦꢡ꣄ꢬꣁ
வீட்டுப்பாடம்  ,home work,கொ3ம்மா அப்4யாஸ்,गा॑म्मा अभ्यास्,ꢒꣁꢪ꣄ꢪꢵ ꢂꢩ꣄ꢫꢵꢱ꣄
