அம்மை  ,chickenpox,அம்மொ,अम्मा॑,ꢂꢪ꣄ꢪꣁ
செவிலி  ,nurse,ஸேவகீ/ஸுஸ்ருஸொ கெர்னார்,"सेवकी, सुस्रुसा॑ क॑र्नार","ꢱꢾꢮꢒꢷ, ꢱꢸꢱ꣄ꢬꢸꢱꣁ ꢒꢾꢬ꣄ꢥꢵꢬ꣄"
சொறி  ,scabies,கா2ஸுபொட்டு,खासपा॑ट्टु,ꢓꢵꢱ꣄ꢦꣁꢜ꣄ꢜꢸ
சொறி சிரங்கு   ,scabies,கா2ஸ்க2ஜ்ஜு,खास्खज्जु,ꢓꢵꢱ꣄ꢓꢙ꣄ꢙꢸ
தடிப்பு  ,"hives, swelling",பு2க்3னி,फुग्नि,ꢧꢸꢔ꣄ꢥꢶ
தடுப்பு ஊசி   ,preventive injections,ஜாக்ரத ஸிவி ஹொக3த்,जाक्रत सिवि हा॑कत्,ꢙꢵꢒ꣄ꢬꢡ ꢱꢶꢮꢶ ꢲꣁꢒꢡ꣄
தடுப்பு மருந்து   ,vaccine,ஜாக்ரதஹொகத்,जाक्रत हा॑कत्,ꢙꢵꢒ꣄ꢬꢡ ꢲꣁꢒꢡ꣄
தலைவலி  ,headache,தொ3ஸ்காது3வ்னொ,ता॑स्का दुव्ना॑,ꢣꣁꢱ꣄ꢒꢵ ꢣꢸꢮ꣄ꢥꣁ
தும்மல்  ,sneezing,ஸிகி3ர்/ஸிகு3ர்/ஸீக்,"सिगिर्, सिगुर्, सीक","ꢱꢶꢔꢶꢬ꣄, ꢱꢶꢔꢸꢬ꣄, ꢱꢷꢒ꣄"
தையல்  ,suture,ஸிவ்னி,सिव्नि,ꢱꢶꢮ꣄ꢥꢶ
தைலம்  ,medicated oil,தெய்ல்,त॑य्ल,ꢡꢾꢫ꣄ꢭ꣄
தொற்று  ,infection,ரோக்3பெர்பினி,रोग प॑र्पिनि,ꢬꣁꢔ꣄ ꢦꢾꢬ꣄ꢦꢶꢥꢶ
தொற்று நோய்   ,contagious disease,தெ4ல்னிவ்யாதி4,ध॑ल्नि व्याधि,ꢤꢾꢭ꣄ꢥꢶ ꢮ꣄ꢫꢵꢤꢶ
தோல் நோய்   ,skin disease,கெண்டா3 ரோக்3,क॑ण्डा रोग,ꢒꢾꢠ꣄ꢞꢵ ꢬꣂꢒ꣄
நீரிழிவு  ,diabetes,ஸெக்கருகொளார்,स॑क्करुकोळार्,ꢱꢾꢒ꣄ꢒꢬꢸ ꢒꣁꢳꢵꢬ꣄
நோயாளி  ,patient,வியாதி3ஸ்து2/ ரோகி3/ ரோக்3க்3ரஸ்தி,"वियादिस्थु, रोगि,          रोग ग्रस्ति","ꢮꢶꢫꢵꢣꢶꢱ꣄ꢢꢸ, ꢬꣂꢔꢶ,       ꢬꣂꢔ꣄ ꢔ꣄ꢬꢱ꣄ꢡꢶ"
நோவு  ,pain,து3வ்னொ,दुव्ना॑,ꢣꢸꢮ꣄ꢥꣁ
பக்கவாதம்  ,paralysis,பர்ஸவாயு/பார்ஸ்வவாயு,"पर्सवायु,     पार्स्व वायु","ꢦꢬ꣄ꢱ ꢮꢵꢫꢸ, ꢦꢵꢬ꣄ꢱ꣄ꢮ ꢮꢵꢫꢸ"
படர்தாமரை  ,ring worm,கிடாசுட்டு,किटाचुट्टु,ꢒꢶꢜꢵꢗꢸꢜ꣄ꢜꢸ
படை  ,eczema,கா2ஸ்,खास्,ꢓꢵꢱ꣄
பரு  ,pimple,மொட்3மெ/மொண்மெ,"माअ॑ड्म॑, मा॑ण्म॑","ꢪꣁꢞ꣄ꢪꢾ, ꢪꣁꢠ꣄ꢪꢾ"
பல்வலி  ,tooth-ache,தா3து து3வ்னொ,दातु दुव्ना॑,ꢣꢵꢣꢸ ꢣꢸꢮ꣄ꢥꣁ
பழுப்பு  ,puss,பீப்,पीप्,ꢦꢷꢦ꣄
பற்குழி  ,tooth cavity,தா3துபொல்லம்,दादु पा॑ल्लम्,ꢣꢵꢣꢸ ꢦꣁꢭ꣄ꢭꢪ꣄
பித்தம்  ,bile,பெய்த்து,प॑य्त्तु,ꢦꢾꢫ꣄ꢡ꣄ꢡꢸ
பிரசவம்  ,delivery,ஜர்கெம்,जर्क॑म्,ꢙꢬ꣄ꢒꢾꢪ꣄
பிரசவவலி  ,labour pain,ஜர்கெமுது3வ்னொ/ பல்லினி து3வ்னொ/ப்ரஸவ வேத3னொ,"जर्क॑मु दुव्ना॑, पल्लिनि दुव्ना॑, प्रसव वेदना॑","ꢙꢬ꣄ꢒꢾꢪꢸꢣꢸꢮ꣄ꢥꣁ, ꢦꢭ꣄ꢭꢶꢥꢶ ꢣꢸꢮ꣄ꢥꣁ, ꢦ꣄ꢬꢱꢮ ꢮꢾꢣꢥꣁ"
பின்விளைவு  ,side effect,உபபா3தொ4/ உபா3த4கொ/ உபாதொ4/      ப2ல்சா பா3தொ4,"उपबाधा॑, उबाधका॑, उपाधा॑,     फल्चा बाधा॑","ꢆꢦꢩꢵꢤꣁ, ꢆꢨꢵꢤꢒꣁ, ꢆꢦꢵꢤꣁ,  ꢧꢭ꣄ꢗꢵ ꢨꢵꢤꣁ"
புண்  ,"sore, wound",க2ஜ்ஜு,खज्जु,ꢓꢙ꣄ꢙꢸ
பைத்தியம்  ,"lunacy, madness",பிஸொ,पिसा॑,ꢦꢶꢱꣁ
பொடுகு  ,dandruff,சுண்டுல்,चुण्टुल्,ꢗꢸꢠ꣄ꢜꢸꢭ꣄
பேன்முட்டை,"Perlice, louse",லீக்,लीक्,ꢭꢷꢒ꣄
மகப்பேறு  ,delivery,ஜர்கெம்,जर्क॑म्,ꢙꢬ꣄ꢒꢾꢪ꣄
மசக்கை  ,morning sickness,மொஸ்கல்,मा॑स्कल्,ꢪꣁꢱ꣄ꢒꢭ꣄
மயக்கம்  ,"drowsiness, fainting",மெங்கினி,म॑ङकिनि,ꢪꢾꢖ꣄ꢒꢶꢥꢶ
மருத்துவம்  ,treatment,வைத்3யம்,वैद्यम,ꢮꣀꢣ꣄ꢫꢪ꣄
மருத்துவமனை  ,hospital,வைத்3ய ஶாலொ,वद्यय शालो,ꢮꢣ꣄ꢫ ꢯꢵꢭꣁ
மருந்து  ,medicine,ஹொக3த்,हा॑गत्,ꢲꣁꢔꢡ꣄
மலச்சிக்கல்  ,constipation,மலப3ந்த4ம்,मल बन्धम्,ꢪꢭ ꢨꢥ꣄ꢤꢪ꣄
மனநோய்  ,"lunacy, hysteria",மொன்னு கொளார்,मा॑न्नु का॑ळार्,ꢪꣁꢥ꣄ꢥꢸ ꢒꣁꢳꢵꢬ꣄
மாத்திரை  ,tablet,கொ3ளி,गा॑ळि,ꢔꣁꢳꢶ
மாதவிடாய்  ,menstruation,ப4ராட்பிஸஸ்தே/து3 தூ3ர்ர:நி,"भराट्पिसत्ते,   दूर र्हनि","ꢩꢬꢵꢜ꣄ ꢦꢶꢱꢡ꣄ꢡꢾ, ꢣꢹꢬ꣄ ꢬꢴꢥꢶ"
மார்புவலி  ,chest pain,ஹேமு து3வ்னொ,हेमु दुव्ना॑,ꢲꢿꢪꢸ ꢣꢸꢮ꣄ꢥꣁ
மாரடைப்பு  ,heart attack,கு3ண்டெம்கா4ம்,गुण्ट॑म्घाम्,ꢔꢸꢠ꣄ꢜꢾꢪ꣄ ꢕꢵꢪ꣄
முதலுதவி  ,first-aid,பை2லாஒய்தபன்,फैला॑ आ॑य्तप्पन्,ꢧꣀꢭꣁ ꢏꢫ꣄ꢡꢦ꣄ꢦꢥ꣄
முறிவு  ,fracture,முட்3ணி,मुड्नि,ꢪꢸꢞ꣄꣄ꢥꢶ
மூட்டுவலி  ,arthritis,கு3ட்3கா3து3வ்னொ,गुड्काम दुव्ना॑,ꢔꢸꢞ꣄꣄ꢒꢵꢪ꣄ ꢣꢸꢮ꣄ꢥꣁ
மூலநோய்  ,piles,முலமுகொளார்,मूलमु का॑ळार्,ꢪꢹꢭꢪꢸ ꢒꣁꢳꢵꢬ꣄
ரத்த அழுத்தம்,blood pressure,ரெக3த்வேக்3/ரெக3துபி3ஸ்ஸொ,"र॑गत्वेग्,      र॑गतु बिस्सा॑","ꢬꢾꢔꢡ꣄ ꢮꢿꢔ꣄, ꢬꣁꢪꢣꢸ ꢨꢶꢱ꣄ꢱꣁ"
ரத்தச் சோகை   ,anaemia,ரெக3து ஹீன்,र॑गतु हीन,ꢬꢾꢔꢡꢸ ꢲꢷꢥ꣄
லேகியம்  ,health tonic (solid),லேகியம்,लेकियम्,ꢭꢿꢒꢶꢫꢪ꣄
வலி  ,pain,து3வ்னொ,दुव्ना॑,ꢣꢸꢮ꣄ꢥꣁ
வலிப்பு  ,fits,வலிவ்,वलिव,ꢮꢭꢶꢮ꣄
மூட்டுவலி,rheumatism,மொளி து3வ்னொ,मा॑ळि दुव्ना॑,ꢪꣁꢳꢶꢶ ꢣꢸꢮ꣄ꢥꣁ
மூலனோய்,piles,மூலமுக் கொளார்,मुलमुक का॑ळार,ꢪꢸꢭꢪꢸꢒ꣄ ꢒꣁꢳꢵꢬ꣄
வாந்தி,vomitting,வம்னி,वम्नि,ꢮꢪ꣄ꢥꢶ
வாய்ப்புண்  ,sore mouth,தோணுக2ஜ்ஜு,तोणुखज्जु,ꢡꣂꢠꢹꢓꢙ꣄ꢙꢸ
வாய்வு  ,flatulence,வாயூ,वायू,ꢮꢵꢫꢹ
விக்கல்  ,hic-cough,இஸ்கி,इस्कि,ꢄꢱ꣄ꢒꢶ
வீக்கம்  ,"Swelling, boil","ஸூத், பு3ருடொ3 பு2க்3நி","सूत, बुरुडा॑, फुग्नि ","ꢱꢹꢡ꣄, ꢨꢸꢬꢸꢞꣁ, ꢧꢸꢔ꣄ꢥꢶ"
வேதனை  ,pain,பா3தொ3,बादा॑,ꢨꢵꢣꣁ
