Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢒꢶꢜꢵꢗꢸꢜ꣄ꢜꢸ,किटाचुट्टु,கிடாசுட்டு,kit'aachut't'u,kiTAcuTTu,kiṭācuṭṭu,kɪʈɑːt͡ʃuʈʈu,ring worm,படர்தாமரை  
ꢓꢵꢱ꣄,खास्,கா2ஸ்,khaas,khAs,khās,kʰɑːs̪,eczema,படை  
ꢪꣁꢞ꣄ꢪꢾ,माअ॑ड्म॑,மொட்3மெ,mo'd'me',mODmE,mŏḍmĕ,moɖme,pimple,பரு  
ꢪꣁꢠ꣄ꢪꢾ,मा॑ण्म॑,மொண்மெ,mo'nme',mONmE,mŏṇmĕ,moɳme,pimple,பரு  
ꢣꢵꢣꢸ ꢣꢸꢮ꣄ꢥꣁ,दातु दुव्ना॑,தா3து து3வ்னொ,daadu duvno',dAdu duvnO,dādu duvnŏ,d̪ɑːd̪u d̪uʋn̪o,tooth-ache,பல்வலி  
ꢦꢷꢦ꣄,पीप्,பீப்,peep,pIp,pīp,piːp,puss,பழுப்பு  
ꢣꢵꢣꢸ ꢦꣁꢭ꣄ꢭꢪ꣄,दादु पा॑ल्लम्,தா3துபொல்லம்,daadu po'llam,dAdu pOllam,dādu pŏllam,d̪ɑːd̪u polləm,tooth cavity,பற்குழி  
ꢦꢾꢫ꣄ꢡ꣄ꢡꢸ,प॑य्त्तु,பெய்த்து,pe'yttu,pEyttu,pĕyttu,pejt̪t̪u,bile,பித்தம்  
ꢙꢬ꣄ꢒꢾꢪ꣄,जर्क॑म्,ஜர்கெம்,jarke'm,jarkEm,jarkĕm,d͡ʒəɾkem,delivery,பிரசவம்  
ꢙꢬ꣄ꢒꢾꢪꢸꢣꢸꢮ꣄ꢥꣁ,जर्क॑मु दुव्ना॑,ஜர்கெமுது3வ்னொ,jarke'muduvno',jarkEmuduvnO,jarkĕmuduvnŏ,d͡ʒəɾkemud̪uʋn̪o,labour pain,பிரசவவலி  
ꢦꢭ꣄ꢭꢶꢥꢶ ꢣꢸꢮ꣄ꢥꣁ,पल्लिनि दुव्ना॑,பல்லினி து3வ்னொ,pallini duvno',pallini duvnO,pallini duvnŏ,pəllɪn̪ɪ d̪uʋn̪o,labour pain,பிரசவவலி  
ꢦ꣄ꢬꢱꢮ ꢮꢾꢣꢥꣁ,प्रसव वेदना॑,ப்ரஸவ வேத3னொ,prasava ve'dano',prasava vEdanO,prasava vĕdanŏ,pɾəs̪əʋə ʋed̪ən̪o,labour pain,பிரசவவலி  
ꢆꢦꢩꢵꢤꣁ,उपबाधा॑,உபபா3தொ4,upabhaadho',upabhAdhO,upabhādhŏ,upəbʰɑːd̪ʰo,side effect,பின்விளைவு  
ꢆꢨꢵꢤꢒꣁ,उबाधका॑,உபா3த4கொ,ubaadhako',ubAdhakO,ubādhakŏ,ubɑːd̪ʰəko,side effect,பின்விளைவு  
ꢆꢦꢵꢤꣁ,उपाधा॑,உபாதொ4,upaadho',upAdhO,upādhŏ,upɑːd̪ʰo,side effect,பின்விளைவு  
ꢧꢭ꣄ꢗꢵ ꢨꢵꢤꣁ,फल्चा बाधा॑,ப2ல்சா பா3தொ4,phalchaa baadho',phalcA bAdhO,phalcā bādhŏ,pʰəlt͡ʃɑː bɑːd̪ʰo,side effect,பின்விளைவு  
ꢓꢙ꣄ꢙꢸ,खज्जु,க2ஜ்ஜு,khajju,khajju,khajju,kʰəd͡ʒd͡ʒu,"sore, wound",புண்  
ꢦꢶꢱꣁ,पिसा॑,பிஸொ,piso',pisO,pisŏ,pɪs̪o,"lunacy, madness",பைத்தியம்  
ꢗꢸꢠ꣄ꢜꢸꢭ꣄,चुण्टुल्,சுண்டுல்,chunt'ul,cuNTul,cuṇṭul,t͡ʃuɳʈul,dandruff,பொடுகு  
ꢭꢷꢒ꣄,लीक्,லீக்,leek,lIk,līk,liːk,"Perlice, louse",பேன்முட்டை
ꢙꢬ꣄ꢒꢾꢪ꣄,जर्क॑म्,ஜர்கெம்,jarke'm,jarkEm,jarkĕm,d͡ʒəɾkem,delivery,மகப்பேறு  
ꢪꣁꢱ꣄ꢒꢭ꣄,मा॑स्कल्,மொஸ்கல்,mo'skal,mOskal,mŏskal,mos̪kəl,morning sickness,மசக்கை  
ꢪꢾꢖ꣄ꢒꢶꢥꢶ,म॑ङकिनि,மெங்கினி,me'nkini,mEGkini,mĕṅkini,meŋkɪn̪ɪ,"drowsiness, fainting",மயக்கம்  
ꢮꣀꢣ꣄ꢫꢪ꣄,वैद्यम,வைத்3யம்,vaidyam,vaidyam,vaidyam,ʋəɪd̪jəm,treatment,மருத்துவம்  
ꢮꢣ꣄ꢫ ꢯꢵꢭꣁ,वद्यय शालो,வைத்3ய ஶாலொ,vadya shaalo',vadya zAlO,vadya śālŏ,ʋəd̪jə ʃɑːlo,hospital,மருத்துவமனை  
ꢲꣁꢔꢡ꣄,हा॑गत्,ஹொக3த்,ho'gat,hOgat,hŏgat,ɦogət̪,medicine,மருந்து  
ꢪꢭ ꢨꢥ꣄ꢤꢪ꣄,मल बन्धम्,மலப3ந்த4ம்,mala bandham,mala bandham,mala bandham,mələ bən̪d̪ʰəm,constipation,மலச்சிக்கல்  
ꢪꣁꢥ꣄ꢥꢸ ꢒꣁꢳꢵꢬ꣄,मा॑न्नु का॑ळार्,மொன்னு கொளார்,mo'nnu ko'l'aar,mOnnu kOLAr,mŏnnu kŏl̤ār,mon̪n̪u koɭɑːɾ,"lunacy, hysteria",மனநோய்  
ꢔꣁꢳꢶ,गा॑ळि,கொ3ளி,go'l'i,gOLi,gŏl̤i,goɭɪ,tablet,மாத்திரை  
ꢩꢬꢵꢜ꣄ ꢦꢶꢱꢡ꣄ꢡꢾ,भराट्पिसत्ते,ப4ராட்பிஸஸ்தே,bharaat' pisatte',bharAT pisattE,bharāṭ pisattĕ,bʰəɾɑːʈ pɪs̪ət̪t̪e,menstruation,மாதவிடாய்  
ꢣꢹꢬ꣄ ꢬꢴꢥꢶ,दूर र्हनि,து3 தூ3ர்ர:நி,door rhani,dUr rhani,dūr rhani,d̪uːɾ ɾɦən̪ɪ,menstruation,மாதவிடாய்  
ꢲꢿꢪꢸ ꢣꢸꢮ꣄ꢥꣁ,हेमु दुव्ना॑,ஹேமு து3வ்னொ,hemu duvno',hemu duvnO,hemu duvnŏ,ɦeːmu d̪uʋn̪o,chest pain,மார்புவலி  
ꢔꢸꢠ꣄ꢜꢾꢪ꣄ ꢕꢵꢪ꣄,गुण्ट॑म्घाम्,கு3ண்டெம்கா4ம்,gunt'e'm ghaam,guNTEm ghAm,guṇṭĕm ghām,guɳʈem gʰɑːm,heart attack,மாரடைப்பு  
ꢧꣀꢭꣁ ꢏꢫ꣄ꢡꢦ꣄ꢦꢥ꣄,फैला॑ आ॑य्तप्पन्,பை2லாஒய்தபன்,phailo' o'ytappan,phailO Oytappan,phailŏ ŏytappan,pʰəɪlo ojt̪əppən̪,first-aid,முதலுதவி  
ꢪꢸꢞ꣄꣄ꢥꢶ,मुड्नि,முட்3ணி,mud'ni,muDni,muḍni,muɖn̪ɪ,fracture,முறிவு  
ꢔꢸꢞ꣄꣄ꢒꢵꢪ꣄ ꢣꢸꢮ꣄ꢥꣁ,गुड्काम दुव्ना॑,கு3ட்3கா3து3வ்னொ,gud'kaam duvno',guDkAm duvnO,guḍkām duvnŏ,guɖkɑːm d̪uʋn̪o,arthritis,மூட்டுவலி  
ꢪꢹꢭꢪꢸ ꢒꣁꢳꢵꢬ꣄,मूलमु का॑ळार्,முலமுகொளார்,moolamu ko'l'aar,mUlamu kOLAr,mūlamu kŏl̤ār,muːləmu koɭɑːɾ,piles,மூலநோய்  
ꢬꢾꢔꢡ꣄ ꢮꢿꢔ꣄,र॑गत्वेग्,ரெக3த்வேக்3,re'gat veg,rEgat veg,rĕgat veg,ɾegət̪ ʋeːg,blood pressure,ரத்த அழுத்தம்
ꢬꣁꢪꢣꢸ ꢨꢶꢱ꣄ꢱꣁ,र॑गतु बिस्सा॑,ரெக3துபி3ஸ்ஸொ,ro'madu bisso',rOmadu bissO,rŏmadu bissŏ,ɾoməd̪u bɪs̪s̪o,blood pressure,ரத்த அழுத்தம்
ꢬꢾꢔꢡꢸ ꢲꢷꢥ꣄,र॑गतु हीन,ரெக3து ஹீன்,re'gatu heen,rEgatu hIn,rĕgatu hīn,ɾegət̪u ɦiːn̪,anaemia,ரத்தச் சோகை   
ꢭꢿꢒꢶꢫꢪ꣄,लेकियम्,லேகியம்,lekiyam,lekiyam,lekiyam,leːkɪjəm,health tonic,லேகியம்
ꢣꢸꢮ꣄ꢥꣁ,दुव्ना॑,து3வ்னொ,duvno',duvnO,duvnŏ,d̪uʋn̪o,pain,வலி  
ꢮꢭꢶꢮ꣄,वलिव,வலிவ்,valiv,valiv,valiv,ʋəlɪʋ,fits,வலிப்பு  
ꢪꣁꢳꢶꢶ ꢣꢸꢮ꣄ꢥꣁ,मा॑ळि दुव्ना॑,மொளி து3வ்னொ,mo'l'ii duvno',mOLii duvnO,mŏl̤ii duvnŏ,moɭɪɪ d̪uʋn̪o,rheumatism,மூட்டுவலி
ꢪꢸꢭꢪꢸꢒ꣄ ꢒꣁꢳꢵꢬ꣄,मुलमुक का॑ळार,மூலமுக் கொளார்,mulamuk ko'l'aar,mulamuk kOLAr,mulamuk kŏl̤ār,muləmuk koɭɑːɾ,piles,மூலனோய்
ꢮꢪ꣄ꢥꢶ,वम्नि,வம்னி,vamni,vamni,vamni,ʋəmn̪ɪ,vomitting,வாந்தி
ꢡꣂꢠꢹꢓꢙ꣄ꢙꢸ,तोणुखज्जु,தோணுக2ஜ்ஜு,tonookhajju,toNUkhajju,toṇūkhajju,t̪oːɳuːkʰəd͡ʒd͡ʒu,sore mouth,வாய்ப்புண்  
ꢮꢵꢫꢹ,वायू,வாயூ,vaayoo,vAyU,vāyū,ʋɑːjuː,flatulence,வாய்வு  
ꢄꢱ꣄ꢒꢶ,इस्कि,இஸ்கி,iski,iski,iski,ɪs̪kɪ,hic-cough,விக்கல்  
ꢱꢹꢡ꣄,सूत,ஸூத்,soot,sUt,sūt,s̪uːt̪,"Swelling, boil",வீக்கம்  
ꢨꢸꢬꢸꢞꣁ,बुरुडा॑,பு3ருடொ3 பு2க்3நி,burud'o',buruDO,buruḍŏ,buɾuɖo,"Swelling, boil",வீக்கம்  
ꢧꢸꢔ꣄ꢥꢶ,फुग्नि,பு3ருடொ3 பு2க்3நி,phugni,phugni,phugni,pʰugn̪ɪ,"Swelling, boil",வீக்கம்  
ꢨꢵꢣꣁ,बादा॑,பா3தொ3,baado',bAdO,bādŏ,bɑːd̪o,pain,வேதனை  
