alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
இவர்,ivar,"செய்தி, தகவல்","Message, Information",,,,
இவர் தொவர்,ivar tovar,பொது அறிவு,Common sense,,,,
ஈக்ஸர்,eeksar,கூடவே,Along with,,,,
உச்லாவ்,uclaav,வரும்படி,Means,,,,
உட்ச்சாஉட்ச்சினி,uTccaauTccini,இழுபறி,Uncertain,,,,
உடாவ்,uTaav,வெளிச்சம்,Bright,,,,
உண்டொ,uNTo,சுருண்டு,Curl,,,,
உத்பத்தி,utpatti,உற்பத்தி,Production,,,,
உந்நதி,unnati,"முன்னேற்றம், உயர்வு","Improvement, Progress, Advancement",,,,
உபசாரணொ,upacaaraNo,உபசரிப்பு,Treatment,,,,
உபதே3ஶ்,upadEss,அறிவுரை,Advise,,,,
உபஹார்,upahaar,பரிசு,Gift,,,,
ஊதெ,uute,"வீண், வீணாக","Waste, In Vain",,,,
ஊளெ,uuLe,ஊதல்,Whistle,,,,
ஐகனா-ஸெத்3து3,aikanaa-seddu,செவி உணரா ஒலி,Ultrasound,,,,
ஐகினி,aikini,கேள்விபடுவது,Hearing,,,,
ஐதொ,aito,தயார்,Ready,,,,
ஒடா3 ஜா2ட்3 தின்னாள்,oDaa jhaaD tinnaaL,சௌராஷ்டிரர்களின் திருவிழா,Sourashtrians Festival,,,,
ஒண்டபோகும்,oNTapOkum,ஒருபக்கம்,Oneside,,,,
ஒண்டிம்புல்,oNTimpul,"தனிமையில், தனியாக","In Private, Alone",,,,
ஒண்டேஸொகன்,oNTEsokan,ஒரே மாதிரியாக,"Alike, Similar, Same as",,,,
ஒண்டேஸொகன் ர்ஹா,oNTEsokan rhaa,"ஒத்திரு, ஒரே மாதிரியாக",Resemble,,,,
ஒண்டேஸொகன் ர்ஹாத்தெ,oNTEsokan rhaatte,ஒத்திருத்தல்,"Resemblence, Similarity",,,,
ஒத்தடி3,ottaDi,வற்றி,Become Dry,,,,
ஒப்பிள்னி,oppiLni,"அங்கீகாரம், ஏற்றுக்கொள்ளுதல், வாக்குமூலம், ஒப்புக்கொள்ளுதல்","Recognition, Acceptance, Confession",,,,
ஒய்து3ஶாலொ,oydussaalo,மருத்துவமனை,Hospital,,,,
ஒர்கை3,orgai,"பயன்படும், உதவும்",Be useful,,,,
ஒரை,orai,செல்வம்,Wealth,,,,
ஒரொ,oro,கோணல்,Skewness,,,,
ஒரொதிரொ,orotiro,கோணல்மாணலாக,ZigZag,,,,
ஒலொ,olo,வலை,Net,,,,
ஒஜாதி,ojaati,ஒருவகை,a type of,,,,
ஓடு,OTu,இரகசியம்,"Secret, Confidential",,,,
ஓடுனும்,OTunum,அருகருகே,"Side by Side, Juxtapose",,,,
ஓர்த்தோ,OrttO,மூலையில்,In the corner,,,,
ஓர்ப்பு,Orppu,சமரசம்,Compromise,,,,
ஓரொ,Oro,ஓரமாக,Sideways,,,,
ஓஸம,Osama,ஏகப்பட்ட,Many a time,,,,
ஔதா3ர்யொ,audaaryo,தயாள குணம்,Generosity,,,,
க2ட்டி,khaTTi,குச்சி,Stick,,,,
க்2யாதி,khyaati,நன்கு அறியப்பட்ட,Well known,,,,
க2லி,khali,காலி,Empty,,,,
க3தி,gati,நிலை,"Condtion, State",,,,
கடி2ன்,kaThin,"வன்மையான, கடினமான","Hard, Tough, Drastic",,,,
கடி2ன் ஹொயெ,kaThin hoye,கடினமான,Tough,,,,
கரொ,karo,பரிசு,Gift,,,,
க்ஷாமம்,kshaamam,பற்றாக்குறை,Scarcity,,,,
க்ஷேமு,kshEmu,ஸௌக்கியம்,Comfort,,,,
கா3ட்,gaaT,முடிச்சு,Knot,,,,
கா4ம்,ghaam,"அடி, காயம்","Beat, Blow, Injury",,,,
காட்,kaaT,கறை,Stain,,,,
காந்தி,kaanti,ஒளிருதல்,Shining,,,,
காமுக்ரமொ,kaamukramo,நிகழ்ச்சி நிரல்,"Agenda, Program, Event",,,,
காரணொ,kaaraNo,காரணம்,"Reason, Cause",,,,
கால்டு3,kaalDu,காலணா,Quarter Rupee,,,,
காஸ்,kaas,காசு,Rupee,,,,
கி3தொ3,gido,கீறல்,Scratch,,,,
கி3ர்க்கத்தெ,girkkatte,கிறுக்குதல்,"Scrawling, Scribbling",,,,
கி3லேஸு,gilEsu,துண்டிக்கிறது,Disconnects,,,,
கீ3த்,geet,பாட்டு,Song,,,,
கு2தா3,khudaa,அடகு,"Hypothecate, Pawn, Pledge, Mortgage",,,,
கு2தி3,khudi,விளையாட்டில் கூட்டாளி,Partner in game,,,,
கு2பா3ய்,khubaay,கூசும்,Glare,,,,
கு3ட்3டு3,guDDu,இரகசியம்,"Secret, Confidential",,,,
கு3ண்ட3ளி,guNDaLi,சுருள்,Coil,,,,
கு3ண்ணு,guNNu,"குணம், பண்பு, தரம், தன்மை","Character, Attribute, Quality",,,,
கு3தெ3,gude,கைத்தடி,Walking stick,,,,
கு3ருத்து,guruttu,அடையாளம்,Identification,,,,
கு3ருத்து களட3ரியொ,guruttu kaLaDariyo,அறிமுக,Introductory,,,,
கு3ருத்து களட்3னி,guruttu kaLaDni,அறிமுகம்,Introduction,,,,
கு3ருத்து களள்ளத்தெ,guruttu kaLaLLatte,அடையாளம் காணல்,"Recognition, Authentication",,,,
கு3ள்ளொ,guLLo,பந்து,Ball,,,,
குக்3னொ,kugno,நெருக்கமான,Close,,,,
குரன்,kuran,கவிதை,Poetry,,,,
கூடக்,kooTak,புதிர்,Puzzle,,,,
கூத்,koot,கூப்பாடு,Shout or Bawl,,,,
கெ2டின்,kheTin,கடுமையான,Harsh,,,,
கெ2தொ,kheto,கதை,Story,,,,
கெ2னி,kheni,கதை,Story,,,,
கெ3ஞ்ஜாவ்,genjjaav,கஞ்சா,Hashish,,,,
கெ3டி3,geDi,வண்டி,Cart,,,,
கெ3லய்,gelay,வழியும்,Seep,,,,
கெ3னாத்,genaat,புதையல்,Treasure,,,,
கெ4ட்டி,gheTTi,சத்தமாக,Loudly,,,,
கெ4டி3,gheDi,சத்தம்,Loud,,,,
கெ4டி3 பொ3வத்தே,gheDi bovattE,"கண்டித்தல், கடிந்துரைத்தல்",Reprimanding,,,,
கெ4னம்,ghenam,கௌரவம்,"Pride, Dignity",,,,
கெர்வான,kervaana,செய்ய முடியாது,Can not do,,,,
கெருங்கி3னி,kerunggini,"கரைதல், உருகுதல்","Dissolve. Dissolution, Melt",,,,
கெருங்கை3,kerunggai,"கரையும், உருகும்","Dissolve, Melt",,,,
கெஷ்டம் ஹொயெ,keshTam hoye,கஷ்டமான,Hard,,,,
கே3கு3,gEgu,சுற்றிலும்,Around,,,,
கேர்,kEr,கவனித்துக்கொள்ளல்,Care,,,,
கொ2ப்3பி3ம் ஹொயெ,khobbim hoye,வழக்கமான,"Regular, Usual",,,,
கொ3வ்ண்ட3ய்யொ,govNDayyo,"தொலைந்தது, காணாமல் போனது","Lost, Missing, Misplaced",,,,
கொ3வ்ண்ட3யி ஜாத்தெ,govNDayi jaatte,"தொலைந்து போகுதல், வழி தவறுதல்",To get lost,,,,
கொ4ரம் பி2வ்ரத்தெ,ghoram phivratte,கவனத்தை திருப்புதல்,Distraction,,,,
கொவ்டொ3,kovDo,சோளி,Cowrie Shell,,,,
கொனொ,kono,"முனை, ஓரம்",Edge,,,,
கோ3கோ3,gOgO,சும்மா சும்மா,Incessantly,,,,
கோ3கோ3தீ,gOgOtee,சும்மாவேனும்,Just,,,,
கோ3ஸ்,gOs,"சும்மா, இலவசம், சும்மாவேனும்","Idle, Free, Just, Often",,,,
கௌ3ணி,gauNi,சங்கீதக் கச்சேரி,Mucial Concert,,,,
கௌத்,kaut,வேடிக்கை,Fun,,,,
கௌஶல்,kaussal,"கலை, திறமை","Skill, Talent, Ability",,,,
சடா3வ்,caDaav,சிறந்த,Best,,,,
சதுர்பாஷா,caturpaashaa,நான்கு மொழிகள்,Four Language,,,,
சமத்கார்,camatkaar,சாமர்த்தியம்,Dexterity,,,,
சல்சித்ரா கு3வ்னி,calcitraa guvni,திரைப்படச்சுருள்,Film roll,,,,
சல்சித்ரொ,calcitro,திரைப்படம்,"Film, Movie",,,,
"சல்த கேர், ஸொன்னொகொ3","calta kEr, sonnogo","தொடரவும், இடைவிடாதிரு","Continue, Keep on, Sustain",,,,
சலய்,calay,நடக்கும்,Happen,,,,
சல்லினி,callini,"வரபோக, நடந்துகொள்ளுதல்","In Touch, Behaving",,,,
சல்னி,calni,நடத்தை,Behavior,,,,
சா2ப்பொ,chaappo,"அச்சு, முத்திரை","Print, Stamp",,,,
சாரி,caari,ஒற்றன்,Spy,,,,
சி2ரன்,chiran,லாந்தர்,Lantern,,,,
சித்துர்,cittur,ஓவியம்,"Art, Painting, Portrait",,,,
சில்லம்,cillam,வங்கி,Bank,,,,
சுங்கிலி,cungkili,தப்பித்து,Escaping,,,,
சுட்டூர்,cuTToor,சுற்றிலும்,Around,,,,
சுட்டொ,cuTTo,சுருட்டு,"Cigar, Cheroot",,,,
சுண்டா3ய்,cuNDaay,சுடும்,Hot,,,,
சுண்டி3ன் தக3த்தெ,cuNDin tagatte,சூடு போடுதல்,Burn with hot iron,,,,
சுருக்,curuk,"வேகமாக, விரைவாக","Fast, Quickly",,,,
சூ,coo,தப்பு,"Mistake, Fault, Error",,,,
சூக்,cook,"குறை, கோள்","Complaint, Fault",,,,
செட்3னி,ceDni,முன்னேற்றம்,Advancement,,,,
செடா3வ்,ceDaav,"மேம்பட்ட, உசத்தியான","Advanced, Superior",,,,
செது3ரத்தெ,ceduratte,"சிதறுதல், தெறித்தல்","Scatter, Splash",,,,
செந்து3ரடொ3,cenduraDo,ரங்கராட்டினம்,Mini Ferris wheel,,,,
"செரிஜாத்தெ, அனுஸரிஞ்ஜாத்தெ","cerijaatte, anusarinjjaatte","ஒத்திரு, இணக்கம்","Conform, Hormon, Solidarity",,,,
செவ்டி3,cevDi,விரோதமாகப் புத்திமதி கூறு,Dissuade,,,,
சை2லொ,chailo,நிழல்,Shadow,,,,
சொகட்3,cokaD,"நல்லது, நல்ல, நன்றாக","Fine, Good",,,,
சொகட்3 ஸனி,cokaD sani,பராமரிப்பு,Maintenance,,,,
சோட்3 ஸே,cOD sE,நன்றாக இருக்கிறது,Is good,,,,
சௌல்னி,caulni,இறுக்கமாகப் பிடித்துக்கொள்ளுதல்,Holding tight,,,,
டங்கினி,Tangkini,கல்வெட்டு,Inscription,,,,
"டே3ரொ, ம்ஹொடொ3 பல்லொ","DEro, mhoDo pallo",கூடாரம்,Tent,,,,
த3மரு,damaru,தாமரை,Lotus,,,,
த3னி,dani,பல்லக்கு,Palanquin,,,,
த3ஸ்து,dastu,பரிசு,Gift,,,,
த3ஸல்,dasal,"புரட்டாசி சனிக்கிழமைகளில் வழங்கப்படும் அன்னதானம், தளிகை",Free lunch offered on the Saturdays of Tamil month Purattasi,,,,
த4மா தா4மு,dhamaa dhaamu,அவசரம்,"Hurry, Hastel, Hurry Burry",,,,
த4மா தா4முரு,dhamaa dhaamuru,"ஓட்டம் ஓட்டமாக, அவசரமாக","Hurriedly, Hastily, Hurry Burrily",,,,
த4மினி,dhamini,ஓட்டம்,Flow,,,,
த்4வனி,dhvani,ஒலி அமைவு,Audio,,,,
த4ன்,dhan,செல்வம்,Wealth,,,,
த4னக3தி3,dhanagadi,வங்கி,Bank,,,,
த4னகே4ர்,dhanaghEr,வங்கி,Bank,,,,
த4னவார்,dhanavaar,வங்கி,Bank,,,,
தத்3து3,taddu,"வலுவான, உறுதியான","Strong, Staunch",,,,
ததி3,tadi,முறை,System,,,,
ததி3,tadi,"முறை, சூழல்","System, Context",,,,
த்ராணி,traaNi,திறன்,"Capacity, Efficiency",,,,
"தரொ, கு3ணவத்தொ","taro, guNavatto",தரம்,Quality,,,,
தா3ண்,daaN,"தடி, கைப்பிடி","Staff, Handle",,,,
தா3ன்,daan,தானம்,"Donation, Giving alms",,,,
தா4னுக்,dhaanuk,அதன்படி,As per,,,,
"தார், கெம்பி3","taar, kembi",கம்பி,Wire,,,,
தாஸு,taasu,"தருணம், சந்தர்ப்பம்","Chance, Occasion, Moment",,,,
தாஸும்,taasum,எதிரில்,Opposite,,,,
தி2ரன்,thiran,நிரந்தரம்,Permanent,,,,
தி3க்குல்,dikkul,"பராக்கு, கவனமின்மை",Inattention,,,,
தி3த3த்தெ,didatte,திருப்பிக் கொடுத்தல்,Giving back,,,,
தி3ர்னி,dirni,"கரைதல், உருகுதல்","Dissolve. Dissolution, Melt",,,,
தி3வ்ய,divya,அற்புதமான,"Splendorous, Fantastic, Wonderful",,,,
தி3வளி,divaLi,தீபாவளி,Diwali / Deepawali / Deepavali Festival,,,,
தி3னுஸ்,dinus,வகை,Variety,,,,
தி3ஜனி,dijani,"தேய்தல், தேய்மானம்","Wear and Tear, Depreciation",,,,
திகு3ச்சர்,tiguccar,தன்னால்,"By itself, Automatically",,,,
திவுச்சர்,tivuccar,தன்னால்,"By itself, Automatically",,,,
தீ2ரப்பன்,theerappan,ஸ்திரத்தன்மை,Stability,,,,
தீ3 தொ2வெத்தெனொ,dee thovetteno,கொடுத்து வைத்தவன்,Lucky,,,,
தீ4னு,dheenu,"உரிமை, சுதந்திரம்","Right, Freedom",,,,
து3க்3வாள்,dugvaaL,பஞ்சம்,Famine,,,,
து3கா3ள்,dugaaL,பஞ்சம்,Famine,,,,
து3ட3கொ,duDako,பிளவு,Split,,,,
து3ர்கு3ன்,durgun,கெடும்படி,Spoling,,,,
து3ஸ்தர்,dustar,அபூர்வம்,Rare,,,,
து3ஸ்தல்,dustal,அபூர்வம்,Rare,,,,
து3ஸ்தல்கன்,dustalkan,"அரிதாக, அபூர்வமாக","Hardly, Rarely",poorana ghiraaN dustalkan hosu,poorana ghiraaN dustalkan hosu,முழு கிரகணம் அரிதாகவே நிகழ்கிறது,Total eclipse occurs rarely
து3ஷ்க்ருதின்,dushkrutin,கெட்ட செயல்,Evil deed,,,,
து3ஷ்கரெ,dushkare,மோசமான செயல்,"Bad deed, Bad activity",,,,
து3ஷ்ட,dushTa,"கெட்ட, பொல்லாத","Bad, Wicked",,,,
து4ட்3டு3லத்தெ,dhuDDulatte,உறுதிப்படுத்தல்,Confirmation,,,,
துங்கன்,tungkan,பணத்தின் அளவு,Measure of money,,,,
துட3ன்,tuDan,சில்லறை,"Change, Retail",,,,
துர்னி,turni,நுழைவு,Entry,,,,
துருங்க3வாஸ்,turunggavaas,சிறைவாசம்,Imprisonment,,,,
துருங்கொ3,turunggo,சிறைச்சாலை,"Prison, Jail",,,,
துருன்,turun,அவசரமாக,Hastily,,,,
தூ4ம்,dhoom,புகை,Smoke,,,,
தூ4ம் பு2வத்தெ,dhoom phuvatte,புகை பிடித்தல்,Smoking,,,,
தூ4ம்பான் வள்டி,dhoompaan vaLTi,சிகரெட்,Cigarette,,,,
தூ4ர்தொ,dhoorto,தந்திரமான,Cunning,,,,
தெ2ட்கி,theTki,"தடுக்கி, இடறி",stumble,,,,
தெ2ட்கினி,theTkini,சிக்குதல்,Stuck,,,,
தெ3க்கணா,dekkaNaa,கண்ணுக்கு தெரியாத,Invisible,,,,
தெ3க்கணா ஜா,dekkaNaa jaa,"மறைந்து போ, காணாமற்போ","Disappear, Vanish",,,,
தெ3க்கணாத்தொ ஹொய்யொ,dekkaNaatto hoyyo,மறைந்து போனது,"Disappeared, Vanished",,,,
தெ3க்காணி,dekkaaNi,காணவில்லை,Missing,,,,
தெ3ட்டு,deTTu,அடர்த்தி,Dense,,,,
தெ3ண்டு3,deNDu,"வெட்டி, பயனற்ற",Useless,,,,
தெ3ள்கொ,deLko,"கனம், தடிமனான","Thick, Thickness",,,,
தெ4ரம்பு3ரால்,dheramburaal,தடால்புடால்,"Hurlyburly, Chaotic, Disorderly",,,,
தெ4ர்னி பொட3த்தெ,dherni poDatte,பிடிபடுதல்,Be caught,,,,
தெர்ஸி,tersi,"தொடரவும், இடைவிடாதிரு","Continue, Keep on, Sustain",,,,
தெர்ஸு,tersu,தொடர்ந்து,Continuously,,,,
தை3வத்தன்,daivattan,அதிர்ஷ்டம்,Luck,,,,
தொ3ரி,dori,நூல்,Thread,,,,
தொ3ஸ்கொகா2ல்,doskokhaal,தலைகீழாக,Upside down,,,,
தொக்குல்,tokkul,கேவலம்,Contempt,,,,
தொப்3பா3தொப்3பி3னி,tobbaatobbini,தள்ளுமுள்ளு,Hustle bustle,,,,
தொப்பத்தெ,toppatte,"தவறுதல், மீறுதல்","Miss, Breach, Violate",,,,
தொரண்,toraN,"வரிசை, தொடர்","Line, Queue, Series",,,,
தொரப்,torap,துப்பு,Clue,,,,
தோ2ட்3தோ2டு3ன்,thODthODun,கொஞ்சம் கொஞ்சமாக,Little by Little,,,,
தோ3ர்,dOr,கயிறு,Rope,,,,
தோ3வு,dOvu,பேரங்காடி,"Shop, Godown",,,,
தோகு,tOku,எதிர்,Opposite,,,,
தோன் தே3த்தெ,tOn dEtte,"எதிர்கொள்ளுதல், சமாளித்தல்","Dealing, Coping, Facing",,,,
தௌ3ணோ,dauNO,கண்ணாடி,Mirror,,,,
நங்கு,nangku,"நேர்மை, நம்பிக்கை","Hope, Trust",,,,
நட்கம்,naTkam,நாடகம்,Drama,,,,
நடி,naTi,நடிகை,Actress,,,,
நடொ,naTo,நடிகர்,Actor,,,,
நரகு,naraku,நரகம்,Hell,,,,
நஸாத்,nasaat,நஷ்டம்,Loss,,,,
நஸினம்,nasinam,அழிவு,Ruin,,,,
நஸினம் ஹொயெ,nasinam hoye,பாழடைந்த,Dilapidated,,,,
ந்ஹான்,nhaan,மெல்லிய,Thin,,,,
ந்ஹான் தெரொ,nhaan tero,மென் படலம்,Film,,,,
நாச்,naac,"சினிமா, நாடகம்",Cinema,,,,
நாவ் பொடெ3,naav poDe,புகழ்பெற்ற,Popular,,,,
நாவு,naavu,பெயர்,Name,,,,
நானாப்ரகார்,naanaaprakaar,பல விதமான,"Many kinds, Various types, Variety",,,,
நாஸ்து,naastu,அழிவு,Destruction,,,,
நிக்கு,nikku,குறி,Mark,,,,
நித்யப்பன்,nityappan,நிரந்தரம்,Permanent,,,,
நிர்ணயம்,nirNayam,தீர்மானித்தல்,Determination,,,,
நிர்ப3ந்த4ம் கேர்,nirbandham kEr,"வற்புறுத்து, கட்டாயப்படுத்து","Force, Insist, Urge",,,,
நிராகரணொ,niraakaraNo,ரத்து செய்தல்,Abrogation,,,,
நிவ்ரி,nivri,"பகிர், பங்கு பிரி",Share,,,,
நிவேஷ்,nivEsh,முதலீடு,Investment,,,,
நிவேஷுபோ2ள்,nivEshuphOL,முதலீட்டின் மீதான வருவாய்,Return on Investment,,,,
நிள்ச்சி,niLcci,நிலையாய்,"Steady, Durable",,,,
நிஜ்ஜம்,nijjam,உண்மை,Fact,,,,
நிஸ்கனொ,niskano,முடிவு,Decision,,,,
நீதி,neeti,"நீதி, நியாயம்",Justice,,,,
நீபு3,neebu,மரத்தொட்டி,Wooden water bucket,,,,
நீவி,neevi,தொட்டி,Wooden bucket,,,,
நீஸ்,nees,குரு நிந்தனை,Guru blasphemy,,,,
நுக3த்தெ,nugatte,பயன்படுத்துதல்,Use,,,,
நுகை3,nugai,பயன்படும்,Will be useful,,,,
நுதி,nuti,புகழ்,Fame,,,,
நூனம்,noonam,தீர்மானித்தல்,Determination,,,,
நெஷ்டி,neshTi,"நஷ்டம், இழப்பு",Loss,,,,
நெஷ்டி பொடெ3,neshTi poDe,இழந்த,Lost,,,,
நேகு,nEku,"தூய்மை, தெளிவு, சுத்தம்","Purity, Clean",,,,
நேர்வெது3ர்,nErvedur,நேரெதிரே,Quite the opposite,,,,
நேரும்,nErum,நேரில்,In person,,,,
நொம்க்கெ,nomkke,நம்பிக்கை,"Confidence, Belief, Trust, Hope",,,,
நொம்மினி,nommini,நம்பிக்கை,"Confidence, Belief, Trust, Hope",,,,
நோகு3,nOgu,நடவடிக்கை,Action,,,,
ப2லி,phali,பலன்,"Result, Benefit",,,,
ப2ள்ளயொ,phaLLayo,அடுத்த,Next one,,,,
ப3ந்தி3,bandi,கைதி,Prisoner,,,,
ப3பி3லி,babili,பொம்மை,Doll,,,,
ப3ர,bara,"நன்று, நல்லது, சிறந்தது","Good, Better, Well",,,,
ப3ரொ,baro,"நன்று, நல்லது, சிறந்தது","Good, Better, Well",,,,
ப3ரொ ஹோய்,baro hOy,குணமாகும்,Will heal,,,,
ப3ஜார்,bajaar,கடைத்தெரு,"Market, Bazaar",,,,
ப3ஸ்பம்,baspam,"சாம்பல், மருந்துப்பொடி","Ash, Microfined medicine, Drug",,,,
ப4ந்தி3னிப்பன்,bhandinippan,கட்டமைப்பு,Structural,,,,
ப4ர்தி,bharti,பதிலாக,Instead,,,,
ப4ரம் ஹொயெ,bharam hoye,கனமான,Heavy,,,,
ப4ரி,bhari,பெரிய,Big,,,,
ப4ரொ,bharo,சுமை,Load,,,,
ப4வாட்,bhavaaT,இரைச்சல்,"Noise, Shouting",,,,
பக்வம்,pakvam,பக்குவம்,Maturation,,,,
பட்டி,paTTi,பட்டியல்,List,,,,
படி,paTi,பருத்தி நூல்,Cotton yarn,,,,
பதா3ள்,padaaL,பாதாளம்,Underworld,,,,
ப்ரக்ஞொ,praknjo,"புத்திசாலி, தன் நினைவுள்ள","Wise, Concisious",,,,
ப்ரகார்,prakaar,வகை,Type,,,,
ப்ரதா4ன்,pradhaan,"முக்கிய, முதன்மை","Main, Primary",,,,
ப்ரதா4ன்கன்,pradhaankan,"முக்கியமாக, முதன்மையாக","Mainly, Primarily",,,,
ப்ரதிஜ்ஞொ,pratijnjo,"சபதம், வாக்குறுதி","Vow, Promise",,,,
ப்ரதிஜ்ஞொபத்ரொ,pratijnjopatro,முத்திரை தாள்,"Bond paper, Promissory",,,,
ப்ரதீகொ,prateeko,சின்னம்,Symbol,,,,
ப்ரயத்ன பொட3த்தெ,prayatna poDatte,முயற்சித்தல்,Trying,,,,
ப்ரயோஜுன்,prayOjun,உபயோகம்,Useful,,,,
பர்வொ ந்ஹீ,parvo nhee,பரவாயில்லை,"Nevermind, It's okay",,,,
ப்ரஸித்3தி4,prasiddhi,அதிகம் பேசப்படும்,Trending,,,,
ப்ரஶ்னொ,prassno,பிரச்சினை,"Problem, Issue",,,,
ப்ரஹேல்,prahEl,விடுகதை,Riddle,,,,
ப்ராக்,praak,முன்,Front,,,,
பராக்ரமொ,paraakramo,"வீரம், துணிவு","Valor, Valour, Prowess, Daring",,,,
ப்ராப்தி,praapti,பேறு,"Luck, Act of obtaining",,,,
ப்ரால்,praal,விட,More than,,,,
பரிகொ4,parigho,அகழி,Trench,,,,
பரிணாம்,pariNaam,பரிணாமம்,Evolution,,,,
பரிபாலனொ,paripaalano,வளர்த்தல்,Fostering,,,,
பரிஸ்தி2தி,paristhiti,"சூழ்நிலை, நிலைமை",Situation,,,,
பரிஶோத4னொ,parissOdhano,"ஆராய்ச்சி, பரிசோதனை","Testing, Experiment",,,,
பரிஷேசனொ,parishEcano,தெளித்தல்,Sprinkling,,,,
பருன்,parun,பிறர்,Others,,,,
பலத்தெ,palatte,நிர்வகித்தல்,Administering,,,,
பலனம்,palanam,நிர்வாகம்,Administration,,,,
பவ்ரத்,pavrat,"அதட்டுதல், கண்டனம்","Rebuke, Condemnation",,,,
பளொ ஹெட3த்தெ,paLo heDatte,படை எடுத்தல்,Invasion,,,,
பஜெ மெனே வேங்கு3,paje menE vEnggu,கேட்டவுடன்,Upon asking,,,,
பஜெந்தயகாம்,pajentayakaam,ஏற்பாடு,Arrangement,,,,
பஜெந்தெ,pajente,வேண்டிய மட்டும்,"Needful, Requisite",,,,
பஜெஹோரியொ,pajehOriyo,தேவை,Need,,,,
பஸ்கட் ஜாத்தெ,paskaT jaatte,பின்தொடர்தல்,"Follow, Chase, Pursue",,,,
பஸொ,paso,துரும்பு,Splinter,,,,
பா2ட்,phaaT,வெடிப்பு,Crack,,,,
பா4க்3கி3,bhaaggi,செல்வம்,Wealth,,,,
பா4க்3யம்,bhaagyam,அதிர்ஷ்டம்,Luck,,,,
பா4க்3யவான்,bhaagyavaan,அதிர்ஷ்டசாலி,Lucky,,,,
பா4கு3,bhaagu,"பாகம், அத்தியாயம்","Part, Episode",,,,
பா4ட்,bhaaT,கூக்குரல்,Uproar,,,,
பா4ர்,bhaar,பொறுப்பு,Responsibility,,,,
பா4ரு,bhaaru,"கனம், சுமை","Weight, Burden",,,,
பா4வனொ,bhaavano,பொருள்,Meaning,,,,
பா4ஷா வல்லரி,bhaashaa vallari,மொழிப் பூங்கொத்து,Bouquet of Language,,,,
பா4ஷொ,bhaasho,மொழி,Language,,,,
பாம்ஶு,paamssu,ஓய்வூதியம்,Pension,,,,
