alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ஸ்வதே3ஶி,svadEssi,பூர்வீகம்,Native,,,,
கா3ம்கெரி,gaamkeri,பூர்வீகம்,Native,,,,
மூள் தே3ஶ்,mooL dEss,சொந்த நாடு,"Native Country, Own Country",,,,
பாஶொ,paasso,"தூக்குக்கயிறு, எமன் கையிலிருக்கும் கயிறு",Noose,,,,
மைது2னானந்தொ3,maithunaanando,புணர்ச்சி பரவசம்,Orgasm,,,,
பொ4ரி லுச்சாத்தெ,bhori luccaatte,நிரம்பி வழிதல்,Overflow,,,,
பொ4ரி த4மத்தெ,bhori dhamatte,பெருக்கெடுத்து ஓடுதல்,Overflow,,,,
பொ3ப்3ளி பொள்ளொ,bobLi poLLo,பப்பாளி,Papaya,,,,
ரொக்டொ3 தெ3னி,rokDo deni,பணம் செலுத்துதல்,"Payout, Payment",,,,
ஹன்னவ் ப4ந்தி3னி,hannav bhandini,பணம் செலுத்துதல்,"Payout, Payment",,,,
ஶிக2ர்,ssikhar,"உச்சம், உச்சி","Peak, Summit",,,,
நல்லிகெரி,nallikeri,குழாய் பழுது பார்ப்பவர்,Plumber,,,,
சல்னிததி3,calnitadi,நடைமுறை,Practical,,,,
ஸொம்மர் ஸூசனொ,sommar soocano,முன்னெச்சரிக்கை,Precaution,,,,
ஸம்மான்,sammaan,"வெகுமதி, கைம்மாறு","Prize, Reward",,,,
ப்ரதிபோ2ள்,pratiphOL,"வெகுமதி, கைம்மாறு","Prize, Reward",,,,
உஞ்சொ கெர்னி,unjco kerni,ஊக்குவித்தல்,Promote,,,,
ஸமஸ்தொ மென்க்யான்,samasto menkyaan,பொது மக்கள்,Public,,,,
த3ண்டொ3,daNDo,தண்டனை,"Punishment, Penalty, Fine",,,,
தக்ஷண புஸினி,takshaNa pusini,வினாடி வினா,Quiz,,,,
அர்கொ4,argho,விகிதம்,Rate,,,,
பி2ரிவவ்ரத்தெ,phirivavratte,"மறுசுழற்சி, மீண்டும் உபயோகித்தல்","Recycle, Reuse",,,,
து3ஹ்கு2 திரட்னி,duhkhu tiraTni,துயர் நீக்கம்,Relief,,,,
அபுல்ராஜ்ய தி3ன்னு,apulraajya dinnu,குடியரசு தினம்,Republic day,,,,
"ஜவாப் ஸங்கு3னார், ஜவாப்தா3ரி","javaap sanggunaar, javaapdaari","பொறுப்பு, பொறுப்புடைய",Responsible,,,,
பி2ரிஸனி,phirisani,மறுஆய்வு,Review,,,,
சகி மெனிக்,caki menik,இயந்திர மனிதன்,Robot,,,,
ஜது,jatu,"ரப்பர், அழிப்பான்",Rubber,,,,
த்யாக்3,tyaag,பலி,Sacrifice,,,,
ஸ்வார்தி2,svaarthi,சுயநலவாதி,Selfish,,,,
தீவ்ரொ,teevro,தீவிரமான,Serious,,,,
தீவ்ரொகன்,teevrokan,தீவிரமாக,Seriously,,,,
தீவ்ரப்பன்,teevrappan,தீவிரத்தன்மை,Seriousness,,,,
வஸ்துன் க2ட3த்தெ,vastun khaDatte,பொருட்கள் வாங்குதல்,Shopping,,,,
தடி3 ஜா,taDi jaa,"தவிர்க்கவும், கடந்து செல்","Skip, Pass on",,,,
கெருங்க3ட்,kerunggaT,கரைசல்,Solution,,,,
தொ3ளொ உக்கத்திஸா,doLo ukkattisaa,கண்கவர்,"Spectacular, Eye-catching",,,,
ஸங்கி3னி,sanggini,"அறிக்கை, சொல்லப்பட்டது, கூற்று",Statement,,,,
தூ3ர் ர்ஹா,door rhaa,விலகியிரு,Stay away,,,,
ஒண்ட்டே பொ3ட்டாம் ஸிவெ சொக்காய் செல்லட3ம்,oNTTE boTTaam sive cokkaay cellaDam,ஒரே துணியில் தைத்த சட்டை மற்றும் காற்சட்டை,Suit,,,,
செடா3வ் ஒர்கு3,ceDaav orgu,மேல் / உயர்ந்த வர்க்கம்,"Superior Class, Classy",,,,
சுட்டூர் ஸேத்தெ,cuTToor sEtte,சுற்றியுள்ள,Surrounding,,,,
கே3கு3ர்,gEgur,சுற்றியுள்ள,Surrounding,,,,
அகாஶுஸனி,akaassusani,தொலைநோக்கி,Telescope,,,,
நட்கமுஶாலொ,naTkamussaalo,"நாடகக்கொட்டகை, நாடக அரங்கம்","Theater, Theatre",,,,
விலாபு கீ3த்,vilaapu geet,ஒப்பாரி,"Threnody, Lament",,,,
ஸ்படிகொ ஹொயெ,spaTiko hoye,ஒளி புகும்,Transparent,,,,
ப3ல்டி ஹான்,balTi haan,"கரணம் போடு, பல்டியடி",Tumble,,,,
ஜுலான்,julaan,இரட்டையர்கள்,Twins,,,,
ஏகம் ஹொயெ,Ekam hoye,"ஒன்றே ஒன்றான, தனித்துவமான",Unique,,,,
ஸெர்க்கஹொயெ,serkkahoye,சரியானது,"Valid, Exact, Right, Accurate",,,,
மூள்யொ,mooLyo,மதிப்பு,"Value, Worth",,,,
வத்தா ப4ண்டா3ர்,vattaa bhaNDaar,வார்த்தை களஞ்சியம்,Vocabulary,,,,
கா4ம் பொட்3னி,ghaam poDni,பாதிப்பு,Vulnerability,,,,
கா4ம் பொட3த்திஸொ,ghaam poDattiso,"பாதிக்கப்படக்கூடிய, காயப்படத்தக்க",Vulnerable,,,,
ஆபத்3ஸூசனொ,aapadsoocano,எச்சரிக்கை,"Warning, Caution",,,,
மொந்துரு வித்3யொ,monturu vidyo,பில்லி சூனியம்,Witchcraft,,,,
