ꢂꢪ꣄ꢪꣁ,अम्मा॑,அம்மொ,chickenpox,அம்மை  
ꢄꢠ꣄ꢒꢶꢥꢶ,इण्किनि,இண்கினி,sprain,சுளுக்கு  
"ꢱꢾꢮꢒꢷ, ꢱꢸꢱ꣄ꢬꢸꢱꣁ ꢒꢾꢬ꣄ꢥꢵꢬ꣄","सेवकी, सुस्रुसा॑ क॑र्नार",ஸேவகீ/ஸுஸ்ருஸொ கெர்னார்,nurse,செவிலி  
ꢓꢵꢱ꣄ꢦꣁꢜ꣄ꢜꢸ,खासपा॑ट्टु,கா2ஸுபொட்டு,scabies,சொறி  
ꢓꢵꢱ꣄ꢓꢙ꣄ꢙꢸ,खास्खज्जु,கா2ஸ்க2ஜ்ஜு,scabies,சொறி சிரங்கு   
ꢧꢸꢔ꣄ꢥꢶ,फुग्नि,பு2க்3னி,"hives, swelling",தடிப்பு  
ꢙꢵꢒ꣄ꢬꢡ ꢱꢶꢮꢶ ꢲꣁꢒꢡ꣄,जाक्रत सिवि हा॑कत्,ஜாக்ரத ஸிவி ஹொக3த்,preventive injections,தடுப்பு ஊசி   
ꢙꢵꢒ꣄ꢬꢡ ꢲꣁꢒꢡ꣄,जाक्रत हा॑कत्,ஜாக்ரதஹொகத்,vaccine,தடுப்பு மருந்து   
ꢣꣁꢱ꣄ꢒꢵ ꢣꢸꢮ꣄ꢥꣁ,ता॑स्का दुव्ना॑,தொ3ஸ்காது3வ்னொ,headache,தலைவலி  
"ꢱꢶꢔꢶꢬ꣄, ꢱꢶꢔꢸꢬ꣄, ꢱꢷꢒ꣄","सिगिर्, सिगुर्, सीक",ஸிகி3ர்/ஸிகு3ர்/ஸீக்,sneezing,தும்மல்  
ꢱꢶꢮ꣄ꢥꢶ,सिव्नि,ஸிவ்னி,suture,தையல்  
ꢡꢾꢫ꣄ꢭ꣄,त॑य्ल,தெய்ல்,medicated oil,தைலம்  
ꢬꣁꢔ꣄ ꢦꢾꢬ꣄ꢦꢶꢥꢶ,रोग प॑र्पिनि,ரோக்3பெர்பினி,infection,தொற்று  
ꢤꢾꢭ꣄ꢥꢶ ꢮ꣄ꢫꢵꢤꢶ,ध॑ल्नि व्याधि,தெ4ல்னிவ்யாதி4,contagious disease,தொற்று நோய்   
ꢒꢾꢠ꣄ꢞꢵ ꢬꣂꢒ꣄,क॑ण्डा रोग,கெண்டா3 ரோக்3,skin disease,தோல் நோய்   
ꢱꢾꢒ꣄ꢒꢬꢸ ꢒꣁꢳꢵꢬ꣄,स॑क्करुकोळार्,ஸெக்கருகொளார்,diabetes,நீரிழிவு  
"ꢮꢶꢫꢵꢣꢶꢱ꣄ꢢꢸ, ꢬꣂꢔꢶ,       ꢬꣂꢔ꣄ ꢔ꣄ꢬꢱ꣄ꢡꢶ","वियादिस्थु, रोगि,          रोग ग्रस्ति",வியாதி3ஸ்து2/ ரோகி3/ ரோக்3க்3ரஸ்தி,patient,நோயாளி  
ꢣꢸꢮ꣄ꢥꣁ,दुव्ना॑,து3வ்னொ,pain,நோவு  
"ꢦꢬ꣄ꢱ ꢮꢵꢫꢸ, ꢦꢵꢬ꣄ꢱ꣄ꢮ ꢮꢵꢫꢸ","पर्सवायु,     पार्स्व वायु",பர்ஸவாயு/பார்ஸ்வவாயு,paralysis,பக்கவாதம்  
ꢒꢶꢜꢵꢗꢸꢜ꣄ꢜꢸ,किटाचुट्टु,கிடாசுட்டு,ring worm,படர்தாமரை  
ꢓꢵꢱ꣄,खास्,கா2ஸ்,eczema,படை  
"ꢪꣁꢞ꣄ꢪꢾ, ꢪꣁꢠ꣄ꢪꢾ","माअ॑ड्म॑, मा॑ण्म॑",மொட்3மெ/மொண்மெ,pimple,பரு  
ꢣꢵꢣꢸ ꢣꢸꢮ꣄ꢥꣁ,दातु दुव्ना॑,தா3து து3வ்னொ,tooth-ache,பல்வலி  
ꢦꢷꢦ꣄,पीप्,பீப்,puss,பழுப்பு  
ꢣꢵꢣꢸ ꢦꣁꢭ꣄ꢭꢪ꣄,दादु पा॑ल्लम्,தா3துபொல்லம்,tooth cavity,பற்குழி  
ꢦꢾꢫ꣄ꢡ꣄ꢡꢸ,प॑य्त्तु,பெய்த்து,bile,பித்தம்  
ꢙꢬ꣄ꢒꢾꢪ꣄,जर्क॑म्,ஜர்கெம்,delivery,பிரசவம்  
"ꢙꢬ꣄ꢒꢾꢪꢸꢣꢸꢮ꣄ꢥꣁ, ꢦꢭ꣄ꢭꢶꢥꢶ ꢣꢸꢮ꣄ꢥꣁ, ꢦ꣄ꢬꢱꢮ ꢮꢾꢣꢥꣁ","जर्क॑मु दुव्ना॑, पल्लिनि दुव्ना॑, प्रसव वेदना॑",ஜர்கெமுது3வ்னொ/ பல்லினி து3வ்னொ/ப்ரஸவ வேத3னொ,labour pain,பிரசவவலி  
"ꢆꢦꢩꢵꢤꣁ, ꢆꢨꢵꢤꢒꣁ, ꢆꢦꢵꢤꣁ,  ꢧꢭ꣄ꢗꢵ ꢨꢵꢤꣁ","उपबाधा॑, उबाधका॑, उपाधा॑,     फल्चा बाधा॑",உபபா3தொ4/ உபா3த4கொ/ உபாதொ4/      ப2ல்சா பா3தொ4,side effect,பின்விளைவு  
ꢓꢙ꣄ꢙꢸ,खज्जु,க2ஜ்ஜு,"sore, wound",புண்  
ꢦꢶꢱꣁ,पिसा॑,பிஸொ,"lunacy, madness",பைத்தியம்  
ꢗꢸꢠ꣄ꢜꢸꢭ꣄,चुण्टुल्,சுண்டுல்,dandruff,பொடுகு  
ꢭꢷꢒ꣄,लीक्,லீக்,"Perlice, louse",பேன்முட்டை
ꢙꢬ꣄ꢒꢾꢪ꣄,जर्क॑म्,ஜர்கெம்,delivery,மகப்பேறு  
ꢪꣁꢱ꣄ꢒꢭ꣄,मा॑स्कल्,மொஸ்கல்,morning sickness,மசக்கை  
ꢪꢾꢖ꣄ꢒꢶꢥꢶ,म॑ङकिनि,மெங்கினி,"drowsiness, fainting",மயக்கம்  
ꢮꣀꢣ꣄ꢫꢪ꣄,वैद्यम,வைத்3யம்,treatment,மருத்துவம்  
ꢮꢣ꣄ꢫ ꢯꢵꢭꣁ,वद्यय शालो,வைத்3ய ஶாலொ,hospital,மருத்துவமனை  
ꢲꣁꢔꢡ꣄,हा॑गत्,ஹொக3த்,medicine,மருந்து  
ꢪꢭ ꢨꢥ꣄ꢤꢪ꣄,मल बन्धम्,மலப3ந்த4ம்,constipation,மலச்சிக்கல்  
ꢪꣁꢥ꣄ꢥꢸ ꢒꣁꢳꢵꢬ꣄,मा॑न्नु का॑ळार्,மொன்னு கொளார்,"lunacy, hysteria",மனநோய்  
ꢔꣁꢳꢶ,गा॑ळि,கொ3ளி,tablet,மாத்திரை  
"ꢩꢬꢵꢜ꣄ ꢦꢶꢱꢡ꣄ꢡꢾ, ꢣꢹꢬ꣄ ꢬꢴꢥꢶ","भराट्पिसत्ते,   दूर र्हनि",ப4ராட்பிஸஸ்தே/து3 தூ3ர்ர:நி,menstruation,மாதவிடாய்  
ꢲꢿꢪꢸ ꢣꢸꢮ꣄ꢥꣁ,हेमु दुव्ना॑,ஹேமு து3வ்னொ,chest pain,மார்புவலி  
ꢔꢸꢠ꣄ꢜꢾꢪ꣄ ꢕꢵꢪ꣄,गुण्ट॑म्घाम्,கு3ண்டெம்கா4ம்,heart attack,மாரடைப்பு  
ꢧꣀꢭꣁ ꢏꢫ꣄ꢡꢦ꣄ꢦꢥ꣄,फैला॑ आ॑य्तप्पन्,பை2லாஒய்தபன்,first-aid,முதலுதவி  
ꢪꢸꢞ꣄꣄ꢥꢶ,मुड्नि,முட்3ணி,fracture,முறிவு  
ꢔꢸꢞ꣄꣄ꢒꢵꢪ꣄ ꢣꢸꢮ꣄ꢥꣁ,गुड्काम दुव्ना॑,கு3ட்3கா3து3வ்னொ,arthritis,மூட்டுவலி  
ꢪꢹꢭꢪꢸ ꢒꣁꢳꢵꢬ꣄,मूलमु का॑ळार्,முலமுகொளார்,piles,மூலநோய்  
"ꢬꢾꢔꢡ꣄ ꢮꢿꢔ꣄, ꢬꣁꢪꢣꢸ ꢨꢶꢱ꣄ꢱꣁ","र॑गत्वेग्,      र॑गतु बिस्सा॑",ரெக3த்வேக்3/ரெக3துபி3ஸ்ஸொ,blood pressure,ரத்த அழுத்தம்
ꢬꢾꢔꢡꢸ ꢲꢷꢥ꣄,र॑गतु हीन,ரெக3து ஹீன்,anaemia,ரத்தச் சோகை   
ꢭꢿꢒꢶꢫꢪ꣄,लेकियम्,லேகியம்,health tonic (solid),லேகியம்  
ꢣꢸꢮ꣄ꢥꣁ,दुव्ना॑,து3வ்னொ,pain,வலி  
ꢮꢭꢶꢮ꣄,वलिव,வலிவ்,fits,வலிப்பு  
ꢪꣁꢳꢶꢶ ꢣꢸꢮ꣄ꢥꣁ,मा॑ळि दुव्ना॑,மொளி து3வ்னொ,rheumatism,மூட்டுவலி
ꢪꢸꢭꢪꢸꢒ꣄ ꢒꣁꢳꢵꢬ꣄,मुलमुक का॑ळार,மூலமுக் கொளார்,piles,மூலனோய்
ꢮꢪ꣄ꢥꢶ,वम्नि,வம்னி,vomitting,வாந்தி
ꢡꣂꢠꢹꢓꢙ꣄ꢙꢸ,तोणुखज्जु,தோணுக2ஜ்ஜு,sore mouth,வாய்ப்புண்  
ꢮꢵꢫꢹ,वायू,வாயூ,flatulence,வாய்வு  
ꢄꢱ꣄ꢒꢶ,इस्कि,இஸ்கி,hic-cough,விக்கல்  
"ꢱꢹꢡ꣄, ꢨꢸꢬꢸꢞꣁ, ꢧꢸꢔ꣄ꢥꢶ","सूत, बुरुडा॑, फुग्नि ","ஸூத், பு3ருடொ3 பு2க்3நி","Swelling, boil",வீக்கம்  
ꢨꢵꢣꣁ,बादा॑,பா3தொ3,pain,வேதனை  
