ꢬꢵꢠꢸ ꢒꣃꢭꣁ,रानुकौला॑,ராணுகௌளொ,raanu kaulo',rANu kaulO,rāṇu kaulŏ,ɾɑːɳu kəulo,raven,அண்டங்காக்கா 
ꢪꢴꣂꢬꢸ ꢦꢶꢖ꣄ꢒꢸ,म्होरुपिङकु,மோ:ரு பிங்கு,mhoru pinku,mhoru piGku,mhoru piṅku,mɦoːɾu pɪŋku,,
ꢙꢵꢞꢸ꣄ ꢜꢖ꣄ꢒꢸ ꢦꢒ꣄ꢰꢶ,जाडु टङकु पक्षि,ஜா2டு3 டங்கு பக்ஷி,jaad'u t'anku pakshi,jADu TaGku pakSi,jāḍ_ŭ ṭaṅku pakṣi,d͡ʒɑːɖu ʈəŋku pəkʂɪ,wood-pecker,மரங்கொத்தி 
ꢪꢴꢳꢶ ꢜ꣄ꢖꢒꢸꢥꢵꢬ꣄,म्हळिटङकुनार,ம:ளி டங்குனார்,mhal'i t'ngakunaar,mhaLi TGakunAr,mhal̤i ṭṅakunār,mɦəɭɪ ʈŋəkun̪ɑːɾ,king fisher,மீன்கொத்தி 
ꢂꢠ꣄ꢞꣁ,अण्डा॑,அண்டொ3,and'o',aNDO,aṇḍŏ,əɳɖo,egg,முட்டை 
ꢱꢬꢶꢒꣁ,सरिका॑,ஸரிகோ,sariko',sarikO,sarikŏ,s̪əɾɪko,myna,மைனா 
ꢡꢬꢱ꣄ꢮꢶꢥ꣄,तरस्विन्,தரஸ்வின்,tarasvin,tarasvin,tarasvin,t̪əɾəs̪ʋɪn̪,falcon,வல்லூறு 
ꢃꢞꢶ,आडि,ஆடி,aad'i,ADi,āḍi,ɑːɖɪ,,
ꢡꢬ꣄ꢦꢒ꣄ꢰꢶ,तर्पक्षि,தர்பஷி,tarpakshi,tarpakSi,tarpakṣi,t̪əɾpəkʂɪ,turkey hen,வான்கோழி 
ꢩꢵꢬꢙꢶ,भारजि,பா4ரஜி,bhaaraji,bhAraji,bhāraji,bʰɑːɾəd͡ʒɪ,skylark,வானம்பாடி 
ꢏꢔꢸꢭ꣄,आ॑गुल,ஒகு3ல்,o'gul,Ogul,ŏgul,ogul,bat,வெளவால் 
