ꢂꢦꢱꢾꢔꢸꢥ꣄,अपस॑गुन,அபஸெகு3ன்,ill omen,அபசகுனம்  
ꢪꢸꢔ꣄ꢔꢸ,मुग्गु,முக்3கு3,floor decoration with rice or stone powder,கோலம்  
ꢱꢾꢔꢸꢥ꣄,स॑गुन,ஸெகு3ன்,omen,சகுனம்  
ꢱꢪ꣄ꢱ꣄ꢒꢵꢬ꣄,सम्स्कार,ஸம்ஸ்கார்,ceremony,சடங்கு  
ꢱꢶꢬ꣄ꢒ꣄ꢒꢠꢸ ꢂꢪ꣄ꢨꢶꢭ꣄,सिर्क्कणु अम्बिल्,ஸிர்க்கணுஅம்பி3ல்,sandal paste,சந்தனக் குழம்பு   
ꢦ꣄ꢬꢿꢣꢸꢒ꣄ ꢔꢞ꣄ꢠꢶ,प्रेदुक गड्णि,ப்ரேது3க் க3ட்3ணி,burial,சவ அடக்கம்   
ꢦ꣄ꢬꢾꢡ꣄ ꢢꣁꢮꢥ꣄ ꢱ꣄ꢢꢵꢥ꣄,प्रेत था॑वन स्थान,ப்ரேத் தொ2வன் ஸ்தா2ன்,mortuary,சவக்கிடங்கு  
"ꢦ꣄ꢬꢾꢣꢸꢦꣁꢭ꣄ꢭꢪ꣄, ꢦ꣄ꢬꢾꢣꢸ ꢔꢬ꣄ꢡꣁ","प्रेदुपोल्लम, प्रेदु ग्र्तो",ப்ரேது3பொல்லம்/ ப்ரேது3 க3ர்தொ,the pit where the burial is done,சவக்குழி  
ꢦ꣄ꢬꢾꢣꢸꢦꢾꢞꢶ,प्रेदुप॑डि,ப்ரேது3பெடி3,coffin,சவப்பெட்டி  
ꢩꣁꢬꢠꢶ,भा॑         रणि,பொ4ரணி,a small container,சிமிழ்  
ꢱꢶꢥ꣄ꢣꢪ꣄,सिन्दम,ஸிந்த3ம்,ceremony for the pregnant woman,சீமந்தம்  
ꢱꢶꢔ꣄ꢬꢪ꣄,सिग्रम,ஸிக்3ரம்,money and new vessels given to the bridegroom on festival days by his parents in law,சீர்  
ꢦꣁꢭꣁ,प॑ला॑,பெலொ,A cup like container,சொப்பு
ꢛꢵꢥꢱ꣄ꢥꢵꢥ꣄,ञानस्नान, ஞானஸ்நான்,baptism,ஞானஸ்நானம்  
ꢣꢲꢥꣁ,दहना॑,த3ஹனொ,funeral,தகனம்  
ꢡꢒ꣄ꢰ꣄ꢠꣁ,तक्ष्णा॑,தக்ஷணொ,offering to the elders,தட்சிணை  
ꢡꢪ꣄ꢦꢡꢶ,दम्पति,த3ம்பதி,couple,தம்பதி  
ꢭꢾꢗ꣄ꢗꢾ,ल॑च्च॑,லெச்செ,talisman,தாயத்து  
"ꢣꣁꢬꢶꢪ꣄ ꢨꣁꢜ꣄ꢜꢸ, ꢪꢵꢖ꣄ꢔꢭ꣄ꢫꢸ","दा॑रिम बा॑ट्टु, माङगल्यु",தொ3ரிம் பொ3ட்டு/மாங்க3ல்யு,an ornament worn by women signifying that they are married and their husband is alive,தாலி  
ꢨꣁꢜ꣄ꢜꢸ ꢩꢥ꣄ꢣꢶ,बा॑ट्टु भन्दि,பொ3ட்டு ப4ந்தி,Tying of tali,தாலி கட்டு
ꢲꣁꢬꢵꢜꢸ ꢱꢶꢔ꣄ꢬꢪ꣄/ ꢲꣁꢬꢵꢜꢸ ꢩꣁꢔꢸꢪꢵꢥꢶ,हा॑राटु सिग्रम् / हा॑राटु भा॑गुमानि,ஹொராடு ஸிக்3ரம்/ ஹொராடு பொகு3மானி,wedding gift,திருமண அன்பளிப்பு/பரிசு   
ꢲꣁꢬꢵꢜ꣄,हा॑राट्,ஹொராட்,marriage,திருமணம்
ꢲꣁꢬꢵꢜꢸ ꢪꢠ꣄ꢣꢦ꣄ (ꢪꣁꢠ꣄ꢡꢮ꣄),हा॑राटुमण्डप् (मा॑ण्टव्),ஹொராடு மொண்ட3வ்,building where marriage ceremonies are conducted,திருமண மண்டபம்   
"ꢡꢶꢥ꣄ꢥꢵꢳ꣄꣄,    ꢱꢸꢦ ꢮꣀꢩꢮ꣄","तिन्नाळ,        सुप वैभव",தின்னாள் /        ஸுப வைப4வ்,festival/function,திருநாள்  
"ꢱꢾꢥ꣄ꢥꢸ, ꢮꣀꢩꢮ꣄, ꢡꢶꢥ꣄ꢥꢵꢳ꣄","स॑न्नु, वैभव, तिन्नाळ",ஸென்னு/வைப4வ் / தின்னாள்,festival,திருவிழா  
ꢬꢾꢡ꣄ꢡꢸꢱꢾꢥ꣄ꢥꢸ,र॑त्तुस॑न्नु,ரெத்துஸென்னு,car festival of a temple,தேர்த்திருவிழா  
"ꢩꢶꢠ꣄ꢞꢶꢥꢶ, ꢥꣁꢪ꣄ꢒꢾ","भिण्डिनि, नोम्के",பி4ண்டி3நி/நொம்கெ,"faith, belief",நம்பிக்கை  
ꢱ꣄ꢮꢵꢔꢡꣁ,स्वागतो,ஸ்வாக3தொ,welcome,நல்வரவு  
ꢡꢸꢜ꣄ꢫꢵꢥꢸ ꢲꣁꢬꢵꢜ꣄,तुट्यानुहा॑राट्,துட்3யானுஹொராட்,Muslim marriage,நிக்கா  
ꢕꢾꢜ꣄ꢜꢶꢮꢶꢞꣁ,ग॑ट्टिविडा॑,கெ4ட்டிவிடொ3,betrothel ceremony (engagement),நிச்சயத்தாம்பூலம்   
ꢣꢿꢱ꣄,देस्,தே3ஸ்,betrothel ceremony (engagement),நிச்சயதார்த்தம்  
"ꢨꢠꢵꢭ꣄, ꢦꣁꢜ꣄ꢜꢵꢱ꣄","बणाल्, पा॑ट्टास्",ப3ணால்/பொட்டாஸ்,crackers,பட்டாசு  
ꢱꢾꢥ꣄ꢥꢸ,स॑न्नु,ஸென்னு,festival,பண்டிகை  
"ꢒꢭꢵꢗꢵꢬ꣄, ꢱꢪ꣄ꢱ꣄ꢒꢺꢡꢶ","कलाचार, सम्स्कृति",கலாசார்/ஸம்ஸ்க்ருதி,culture,பண்பாடு  
ꢪꢮ꣄ꢞꣁ,मव्डा॑,மவ்டொ3,pandal,பந்தல்  
"ꢦꢵꢡꢶ,  ꢦꢖ꣄ꢒ꣄ꢡꢶ","पादि, पङ्क्ति",பாதி3/பங்க்தி,a row of people sitting/standing,பந்தி  
ꢩꣁꢔꢸꢪꢵꢥ꣄,भा॑गुमान्,பொ4கு3மான்,gift,பரிசு
ꢨꣁꢭꢶ,बा॑लि,பொ3லி,sacrifice,பலி  
ꢬꣂꢙꢵ ꢧꢹꢭꢸꢦꢥꢶ,रोजा फूलुपनि,ரோஜாபூ2லுபனி,rose water,பன்னீர்  
ꢦꢥ꣄ꢥꢷꢬ꣄ ꢓꢸꢪ꣄ꢨꢵꢮ꣄,पन्नीर खुम्बाव,பன்னீர் கு2ம்பா3வ்,rose water container to spray,பன்னீர்க்கும்பா  
ꢦꢵꢞꣁ,पाडा॑,பாடொ3,bamboo stretcher to carry a corpse,பாடை  
"ꢣꢹꢡ ꣄ꢲꢸꢥ꣄ꢥꣁ ꢒꢾꢬꢱ꣄ꢡꢾ,    ꢣꢹꢡ꣄ ꢡꢮꢱ꣄ꢡꢾ","दूत हुन्ना॑ केरस्ते, दूत्तवस्ते",தூ3த் ஹுன்னொ கெரஸ்தே / தூ3த் தவஸ்தே,the milk boiling ceremony in house warming,பால்காய்ச்சுதல்
ꢦꢶꢠ꣄ꢞꢸ,पिण्डु,பிண்டு3,the lump of food offered to the dead,பிண்டம்  
"ꢆꢙꢾꢣꢶꢮꢱ꣄, ꢆꢙꢾ ꢣꢶꢥ꣄ꢥꢸ","उज॑ दिवस,    उज॑ दिन्नु",உஜெதி3வஸ்/உஜெ தி3ன்னு,birth day,பிறந்தநாள்  
ꢧꢹꢭꢸ ꢪꢸꢔ꣄ꢔꢸ,फूलुमुग्गु,பூ2லுமுக்3கு3,floor decoration with flowers,பூக்கோலம்  
ꢔꢺꢲ  ꢦ꣄ꢬꢮꢿꢱ꣄,गृह प्रवेस,க்ரு3ஹப் ப்ரவேஸ்,the house warming ceremony,புதுமனைப் புகுவிழா   
"ꢦꢸꢬꣁꢲꢶꢡ꣄, ꢦꢸꢬꢾꢡ꣄","पुरोहित, पुरेत",புரோஹித்/புரேத்,priest,புரோகிதன்  
ꢦꢸꢙꢬꢶ,पुजरि,புஜரி,priest,பூசாரி  
ꢗꢵꢭꢸ ꢮꢶꢱꢾꢯ꣄,चालु विसेष,சாலு விஸேஷ்,the celebration on attaintment of puberty by girls,பூப்புநீராட்டுவிழா   
ꢨꢾꢜ꣄ꢒꢶ ꢱꢵꢱ꣄ꢡꢾ,ब॑ट्कि सास्ते,பெ3ட்கி ஸாஸ்தே,seeing the girl to fix for the marriage,பெண்பார்த்தல்  
"ꢥꢵꢪꢔꢬꢠꣁ, ꢱꢾꢜ꣄ꢜꢶ","नामगरणा॑, स॑ट्टि",நாம க3ரணொ / ஸெட்டி,naming ceremony,பெயர்சூட்டுதல்  
ꢲꣁꢬꢵꢜꢸꢪꢮ꣄ꢞꣁ,हा॑राटु मव्डा॑,ஹொராடு மவ்டொ3,marriage pandal,மணப்பந்தல்  
ꢥꣁꢮ꣄ꢬꢶ,ना॑व्रि,நொவ்ரி,bride,மணமகள்  
ꢥꣁꢮ꣄ꢬꣁ,ना॑व्रा॑,நொவ்ரொ,bridegroom,மணமகன்/ மாப்பிள்ளை/ வரன்    
ꢲꣁꢬꢵꢜꢸ ꢲꢵꢬ,हा॑राटु हार,ஹொராடுஹார்,marriage garland,மணமாலை  
ꢲꣁꢬꢵꢜꢸ ꢦꢷꢝꢪ꣄,हा॑राटु पीठम्,ஹொராடு பீட2ம்,marriage platform,மணமேடை  
"ꢦꢣ꣄ꢣꢣꢶ, ꢮꢡ꣄ꢒꢾ","पद्दति, वक॑",பத்3த3தி/வட்கெ,tradition,மரபு  
ꢦꢸꢥꢬ꣄ꢙꢾꢥ꣄ꢪꢸ,पुनर्ज॑न्मु,புனர்ஜென்மு,re-birth,மறுபிறவி  
ꢦꢷꢞꢸꢪꢸꢔ꣄ꢔꢸ,पीडुमुग्गु,பீடு3முக்3கு3,floor decoration with rice floor,மாக்கோலம்  
"ꢲꢵꢬ꣄ꢧꢶꢬꢶꢕꢭ꣄ꢭꢶꢥꢶ,ꢪꢵꢭꣁ ꢪꢗ꣄ꢗꢸꢭꢱ꣄ꢡꢾ","हार्फिरिघल्लिनि, माला॑ मच्चुलस्ते",ஹார் பி2ரி க4ல்லினி / மாலொமச்சுலஸ்தே,exchanging garlands in marriage,மாலைமாற்றல்  
"ꢦꢵꢄ~ ꢪꢸꢣ꣄ꢣꢶ, ꢮꢶꢛ꣄ꢗꢸ ꢨꣁꢜ꣄ꢜꢸ","पाइ~ मुद्दि, विञ्चु बा॑ट्टु",பாஇ~முத்3தி3/விஞ்சுபொ3ட்டு,silver rings put to the second toe of a bride,மிஞ்சி  
ꢒꢾꢥ꣄ꢥꢭ꣄,क॑न्नल,கென்னள்,offering money to the bride/bridegroom by relatives and friends,மொய்  
ꢪꢸꢣ꣄ꢣꢶꢪꢬ꣄ꢗꢸꢭꢱ꣄ꢡꢾ,मुद्दि मर्चुलस्ते,முத்3தி3 மர்சுலஸ்தே,exchange of rings during marriage or prior to it (engagement),மோதிரம் மாற்றல்   
"ꢪꢴꢹꢬ꣄ꢡꢸ, ꢭꢾꢔꢶꢥ꣄","म्हूर्तु, ल॑गिन",மூ:ர்து / லெகி3ன்,the auspicious time,முகூர்த்தம்  
ꢪꢴꢸꢞꢨꢶꢠ꣄ꢞꢶꢥꢶ,म्हुडा बिण्डिनि,மு:டா3பி3ண்டி3னி,superstition,மூட நம்பிக்கை    
ꢱ꣄ꢮꢵꢔꢣ꣄,स्वागद,ஸ்வாகத்3,reception,வரவேற்பு  
ꢒꣀꢥꣁ ꢧꢶꢬꢞ꣄ꢥꢶ,कैना॑ फिरड्नि,கைனொ பி2ரட்3னி,bangle wearing ceremony of pregnant woman,வளைகாப்பு  
ꢡꢥ꣄ꢣꢸ ꢡꣀꢥꢶ,तन्दु तैनि,தந்து3 தைனி,putting rice to the mouth of the dead,வாய்க்கரிசி  
ꢥꢥ꣄ꢣꢶꢥꢶ,नन्दिनि,நந்தி3னி,"blessing, greeting",வாழ்த்து  
ꢙꣁꢪꢥ꣄,जा॑मन्,ஜொமன்,feast,விருந்து  
ꢮꣀꢩꢮ꣄,वैभव्,வைப4வ்,"ceremony, function, festival",விழா  
ꢔꣁꢬꢸ ꢆꢞ꣄ꢔꢠ꣄ꢠꢶ,गा॑रु उड्गण्णि,கொ3ரு உட்க3ண்ணி,Bull fight,ஜல்லிக்கட்டு
ꢙꢬ꣄/ꢡ꣄ꢒꢾꢪ꣄ ꢦꢵꢥ꣄,जर/त्क॑म्पान,ஜர்/த்கெம் பான்,horoscope,ஜாதகம்  
